id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MINA,2022-01-03,50.00,51,50,50,2305200,115264600
MINA,2021-12-30,50.00,50,50,50,323000,16150000
MINA,2021-12-29,50.00,50,50,50,72500,3625000
MINA,2021-12-28,50.00,50,50,50,260100,13005000
MINA,2021-12-27,50.00,51,50,50,939200,46960500
MINA,2021-12-24,50.00,51,50,50,5500600,275081000
MINA,2021-12-23,51.00,51,50,50,2174800,108954900
MINA,2021-12-22,51.00,51,50,50,8936100,447638700
MINA,2021-12-21,51.00,52,50,50,7956900,405439100
MINA,2021-12-20,50.00,51,50,51,14831200,749523900
MINA,2021-12-17,50.00,52,50,50,17353300,872743400
MINA,2021-12-16,50.00,50,50,50,29000,1450000
MINA,2021-12-15,50.00,50,50,50,150500,7525000
MINA,2021-12-14,50.00,50,50,50,533200,26660000
MINA,2021-12-13,50.00,50,50,50,506600,25330000
MINA,2021-12-10,50.00,51,50,50,6968100,349063800
MINA,2021-12-09,50.00,50,50,50,2312900,115645000
MINA,2021-12-08,50.00,50,50,50,54600,2730000
MINA,2021-12-07,50.00,50,50,50,38000,1900000
MINA,2021-12-06,50.00,50,50,50,321800,16090000
MINA,2021-12-03,50.00,50,50,50,855000,42750000
MINA,2021-12-02,50.00,50,50,50,93700,4685000
MINA,2021-12-01,50.00,50,50,50,234000,11700000
MINA,2021-11-30,50.00,50,50,50,461500,23075000
MINA,2021-11-29,50.00,50,50,50,524800,26240000
MINA,2021-11-26,50.00,51,50,50,2539500,127179600
MINA,2021-11-25,50.00,51,50,50,2434500,121987900
MINA,2021-11-24,50.00,51,50,50,2822800,141147100
MINA,2021-11-23,50.00,50,50,50,1132000,56600000
MINA,2021-11-22,50.00,51,50,50,1884300,94512400
MINA,2021-11-19,51.00,51,50,50,5548400,277855100
MINA,2021-11-18,50.00,51,50,51,2574700,128962100
MINA,2021-11-17,50.00,51,50,50,4824700,241281000
MINA,2021-11-16,51.00,51,50,50,15352100,768423700
MINA,2021-11-15,51.00,52,50,51,9843700,499392100
MINA,2021-11-12,51.00,55,50,51,43316600,2282188700
MINA,2021-11-11,50.00,54,50,51,33587300,1740920200
MINA,2021-11-10,50.00,50,50,50,142100,7105000
MINA,2021-11-09,50.00,50,50,50,496400,24820000
MINA,2021-11-08,50.00,51,50,50,3303800,165227300
MINA,2021-11-05,50.00,51,50,50,5515500,275990900
MINA,2021-11-04,50.00,50,50,50,491700,24585000
MINA,2021-11-03,50.00,50,50,50,126800,6340000
MINA,2021-11-02,50.00,50,50,50,665800,33290000
MINA,2021-11-01,50.00,50,50,50,477900,23895000
MINA,2021-10-29,50.00,50,50,50,424200,21210000
MINA,2021-10-28,50.00,50,50,50,332400,16620000
MINA,2021-10-27,50.00,50,50,50,1136000,56800000
MINA,2021-10-26,50.00,51,50,50,2227500,111375200
MINA,2021-10-25,50.00,51,50,50,6303500,316061000
MINA,2021-10-22,50.00,51,50,50,2681900,134312400
MINA,2021-10-21,51.00,51,50,50,1361100,68388900
MINA,2021-10-19,51.00,51,50,51,12864500,643484200
MINA,2021-10-18,51.00,51,50,51,26805000,1341563500
MINA,2021-10-15,51,52,50,51,2891600,146971700
MINA,2021-10-14,51,52,50,51,4751600,241521100
MINA,2021-10-13,52,52,51,51,5112800,262154800
MINA,2021-10-12,51,54,51,51,13866400,719218300
MINA,2021-10-11,52,53,51,51,7710000,395942000
MINA,2021-10-08,50,56,50,52,96581900,5130214300
MINA,2021-10-07,50,54,50,50,27493200,1411355400
MINA,2021-10-06,51,52,50,50,6986600,353514100
MINA,2021-10-05,50,52,50,51,12509000,629746300
MINA,2021-10-04,52,54,50,50,77261200,3925672000
MINA,2021-10-01,55,55,52,52,6912300,364371900
MINA,2021-09-30,51,57,51,54,30623400,1668404400
MINA,2021-09-29,52,54,51,51,21820500,1125091900
MINA,2021-09-28,56,57,53,54,12964100,709074000
MINA,2021-09-27,57,58,55,56,13930200,781409000
MINA,2021-09-24,56,60,55,57,47341800,2721403400
MINA,2021-09-23,56,60,54,56,50643700,2884591900
MINA,2021-09-22,57,59,54,56,36155500,2032325500
MINA,2021-09-21,55,57,53,55,19296500,1063102900
MINA,2021-09-20,56,61,54,55,61244300,3506430300
MINA,2021-09-17,55,62,54,56,92133700,5382479200
MINA,2021-09-16,50,65,50,55,371075100,22251016100
MINA,2021-09-15,51,55,50,50,29005700,1498536800
MINA,2021-09-14,51,51,50,51,1710000,85738500
MINA,2021-09-13,50,51,50,51,3061900,153404400
MINA,2021-09-10,51,51,50,50,5068000,254429900
MINA,2021-09-09,51,52,50,50,2469500,124676900
MINA,2021-09-08,51,51,50,51,8391100,423751700
MINA,2021-09-07,51,52,50,51,6129900,307527400
MINA,2021-09-06,50,54,50,51,40011500,2045754700
MINA,2021-09-03,52,52,50,50,27455300,1375617700
MINA,2021-09-02,55,55,52,52,35582700,1863567500
MINA,2021-09-01,55,65,55,55,162206900,9501666200
MINA,2021-08-31,59,62,59,59,32414800,1913714400
MINA,2021-08-30,67,71,63,63,10217600,647621700
MINA,2021-08-27,50,67,50,67,233588800,14691718100
MINA,2021-08-26,50,51,50,50,932900,46670000
MINA,2021-08-25,50,52,50,50,4236200,213236300
MINA,2021-08-24,50,52,50,51,4832200,243163800
MINA,2021-08-23,50,51,50,50,5188000,260337000
MINA,2021-08-20,50,50,50,50,87800,4390000
MINA,2021-08-19,50,50,50,50,19600,980000
MINA,2021-08-18,50,50,50,50,279800,13990000
MINA,2021-08-16,50,50,50,50,186700,9335000
MINA,2021-08-13,50,53,50,50,10007800,504428000
MINA,2021-08-12,50,50,50,50,136900,6845000
