id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MLPT,2022-01-03,3510.00,4250,3510,4100,16070700,64446173000
MLPT,2021-12-30,3590.00,3630,3500,3510,602000,2161894000
MLPT,2021-12-29,3600.00,3630,3500,3570,1107700,3964996000
MLPT,2021-12-28,3620.00,3640,3450,3590,2711100,9781556000
MLPT,2021-12-27,3510.00,3700,3450,3590,3286100,11882940000
MLPT,2021-12-24,3320.00,3540,3310,3500,229200,791039000
MLPT,2021-12-23,3400.00,3410,3330,3330,36600,123404000
MLPT,2021-12-22,3330.00,3390,3300,3370,5962200,20149754000
MLPT,2021-12-21,3380.00,3430,3200,3330,98100,326997000
MLPT,2021-12-20,3450.00,3460,3380,3380,21000,71658000
MLPT,2021-12-17,3400.00,3500,3380,3400,53000,182466000
MLPT,2021-12-16,3400.00,3490,3400,3400,10300,35103000
MLPT,2021-12-15,3400.00,3420,3380,3400,38800,131970000
MLPT,2021-12-14,3460.00,3460,3380,3380,33800,115522000
MLPT,2021-12-13,3510.00,3550,3460,3460,31400,109601000
MLPT,2021-12-10,3420.00,3500,3370,3500,343400,1183617000
MLPT,2021-12-09,3380.00,3460,3380,3400,56700,193331000
MLPT,2021-12-08,3420.00,3430,3380,3390,40900,138847000
MLPT,2021-12-07,3510.00,3510,3350,3430,53100,180721000
MLPT,2021-12-06,3510.00,3510,3270,3510,892100,2965764000
MLPT,2021-12-03,3510.00,3540,3470,3510,52400,183625000
MLPT,2021-12-02,3480.00,3520,3400,3520,53300,183984000
MLPT,2021-12-01,3430.00,3550,3430,3480,60400,210316000
MLPT,2021-11-30,3490.00,3600,3420,3470,123500,432506000
MLPT,2021-11-29,3440.00,3490,3440,3470,124800,430041000
MLPT,2021-11-26,3640.00,3510,3420,3440,1287000,4486767000
MLPT,2021-11-25,3640.00,3640,3500,3500,132900,472737000
MLPT,2021-11-24,3550.00,3650,3550,3600,488600,1754503000
MLPT,2021-11-23,3480.00,3600,3470,3550,384800,1355338000
MLPT,2021-11-22,3500.00,3550,3440,3480,171600,600995000
MLPT,2021-11-19,3630.00,3700,3410,3500,273600,956013000
MLPT,2021-11-18,3500.00,3600,3500,3600,528700,1879532000
MLPT,2021-11-17,3360.00,3480,3350,3470,596800,2024139000
MLPT,2021-11-16,3360.00,3400,3360,3380,185800,626933000
MLPT,2021-11-15,3380.00,3420,3360,3370,64800,218706000
MLPT,2021-11-12,3420.00,3420,3380,3380,80700,273388000
MLPT,2021-11-11,3420.00,3430,3400,3420,33300,113784000
MLPT,2021-11-10,3410.00,3450,3400,3420,145500,495590000
MLPT,2021-11-09,3400.00,3450,3380,3400,120600,409681000
MLPT,2021-11-08,3450.00,3470,3400,3400,71300,243556000
MLPT,2021-11-05,3420.00,3510,3420,3450,99000,339967000
MLPT,2021-11-04,3410.00,3480,3400,3420,23800,81915000
MLPT,2021-11-03,3410.00,3430,3380,3400,75600,257084000
MLPT,2021-11-02,3440.00,3480,3410,3410,89000,305772000
MLPT,2021-11-01,3540.00,3540,3420,3450,104200,360850000
MLPT,2021-10-29,3550.00,3560,3450,3490,123800,434938000
MLPT,2021-10-28,3580.00,3610,3400,3510,1447500,5101681000
