id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MPMX,2022-01-03,1155.00,1285,1145,1185,49944400,60388949500
MPMX,2021-12-30,1140.00,1155,1125,1145,8575700,9776005000
MPMX,2021-12-29,1155.00,1155,1110,1150,13450300,15300175000
MPMX,2021-12-28,1135.00,1150,1110,1140,6886200,7786927000
MPMX,2021-12-27,1075.00,1150,1065,1135,13801500,15543519000
MPMX,2021-12-24,1145.00,1155,1075,1075,15966400,17655044500
MPMX,2021-12-23,1060.00,1165,1055,1145,24324800,26825610000
MPMX,2021-12-22,1050.00,1095,1000,1060,22066000,23330430500
MPMX,2021-12-21,1140.00,1160,1060,1060,23840100,26144856500
MPMX,2021-12-20,1175.00,1175,1125,1135,6391700,7313541500
MPMX,2021-12-17,1150.00,1175,1125,1150,10707400,12271952000
MPMX,2021-12-16,1190.00,1205,1120,1145,18382400,21099504000
MPMX,2021-12-15,1205.00,1245,1170,1175,16775700,20113573000
MPMX,2021-12-14,1135.00,1200,1120,1200,22713500,26555703000
MPMX,2021-12-13,1190.00,1200,1130,1135,15767500,18370740500
MPMX,2021-12-10,1150.00,1190,1130,1190,35860600,41658693000
MPMX,2021-12-09,1055.00,1150,1055,1140,47363600,52513470500
MPMX,2021-12-08,1100.00,1110,1010,1050,37947400,39827662000
MPMX,2021-12-07,985.00,1125,985,1085,70712000,74957546500
MPMX,2021-12-06,920.00,1005,905,985,50958900,48610125500
MPMX,2021-12-03,835.00,940,835,920,75464200,68314718000
MPMX,2021-12-02,830.00,855,820,855,11571400,9715511000
MPMX,2021-12-01,830.00,840,820,830,6483200,5357299500
MPMX,2021-11-30,825.00,845,820,840,13552900,11310914500
MPMX,2021-11-29,820.00,835,815,825,7219500,5935823000
MPMX,2021-11-26,840.00,850,820,825,12414900,10310900000
MPMX,2021-11-25,840.00,855,840,850,8145000,6906216000
MPMX,2021-11-24,825.00,860,820,850,24790300,20967274500
MPMX,2021-11-23,825.00,830,810,830,6718200,5501866000
MPMX,2021-11-22,840.00,845,820,825,5612100,4630042000
MPMX,2021-11-19,840.00,845,810,840,19436600,16007654500
MPMX,2021-11-18,850.00,865,835,840,9885400,8386817000
MPMX,2021-11-17,830.00,850,830,850,16994900,14319396000
MPMX,2021-11-16,805.00,845,800,835,22651100,18680512500
MPMX,2021-11-15,800.00,810,790,805,6969900,5589547500
MPMX,2021-11-12,780.00,800,775,800,14687700,11640130500
MPMX,2021-11-11,790.00,790,770,780,10327900,8045272000
MPMX,2021-11-10,775.00,780,765,780,8469300,6557638500
MPMX,2021-11-09,765.00,775,760,770,7704800,5906680000
MPMX,2021-11-08,760.00,770,755,765,7562400,5743782500
MPMX,2021-11-05,755.00,760,750,760,5100100,3853836000
MPMX,2021-11-04,760.00,760,750,755,2373900,1793202000
MPMX,2021-11-03,760.00,760,745,755,2799100,2105015000
MPMX,2021-11-02,770.00,775,755,755,4511100,3439212000
MPMX,2021-11-01,765.00,775,750,770,14814800,11242039000
MPMX,2021-10-29,740.00,750,735,750,6616800,4912365500
MPMX,2021-10-28,735.00,745,735,740,5580900,4120571000
MPMX,2021-10-27,735.00,740,735,735,1868400,1378563000
MPMX,2021-10-26,740.00,745,735,735,4282400,3164901500
MPMX,2021-10-25,750.00,750,740,740,4470200,3324970500
MPMX,2021-10-22,755.00,755,740,750,8468000,6314919500
MPMX,2021-10-21,745.00,760,740,750,14165000,10622003000
MPMX,2021-10-19,740.00,740,730,740,2555500,1881321500
MPMX,2021-10-18,730.00,740,730,740,3115300,2294084000
MPMX,2021-10-15,735,740,725,730,9390000,6861591000
MPMX,2021-10-14,740,740,730,730,5163800,3789524000
MPMX,2021-10-13,740,740,730,740,4847800,3562891500
MPMX,2021-10-12,745,745,735,740,5208700,3846950000
MPMX,2021-10-11,745,745,735,745,6491500,4790701000
MPMX,2021-10-08,745,750,735,745,11621400,8599349500
MPMX,2021-10-07,745,750,735,750,13208000,9780164000
MPMX,2021-10-06,735,750,730,745,9827300,7268750000
MPMX,2021-10-05,745,750,725,735,14230300,10458737000
MPMX,2021-10-04,750,755,740,750,3318900,2489286500
MPMX,2021-10-01,745,760,740,745,2775000,2075325500
MPMX,2021-09-30,745,765,745,760,3938200,2970198500
MPMX,2021-09-29,745,755,730,745,12358600,9155365500
MPMX,2021-09-28,770,775,750,750,8432400,6381572000
MPMX,2021-09-27,775,780,765,770,4395400,3385558500
MPMX,2021-09-24,775,785,760,770,11296200,8742598500
