id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MPOW,2022-01-03,102.00,108,102,105,1059100,111818800
MPOW,2021-12-30,109.00,109,105,106,4694700,498590600
MPOW,2021-12-29,112.00,115,107,109,23206300,2567061300
MPOW,2021-12-28,106.00,111,106,110,22950600,2508784900
MPOW,2021-12-27,102.00,113,102,108,17015900,1862441900
MPOW,2021-12-24,105.00,112,105,108,16571200,1807366400
MPOW,2021-12-23,99.00,113,99,107,12156000,1322840200
MPOW,2021-12-22,100.00,110,100,106,2575300,274925300
MPOW,2021-12-21,111.00,111,104,106,6765300,721792900
MPOW,2021-12-20,113.00,115,106,106,10914600,1197970100
MPOW,2021-12-17,111.00,117,109,112,17868700,2032608600
MPOW,2021-12-16,116.00,116,107,110,3488200,384247100
MPOW,2021-12-15,119.00,119,109,109,2839000,314261200
MPOW,2021-12-14,121.00,121,111,113,11020000,1251100300
MPOW,2021-12-13,107.00,117,105,115,18868200,2133512900
MPOW,2021-12-10,111.00,111,106,106,3002800,322978900
MPOW,2021-12-09,110.00,110,105,106,1532600,162415600
MPOW,2021-12-08,110.00,110,105,108,1421900,151119200
MPOW,2021-12-07,108.00,110,102,105,5517100,573450200
MPOW,2021-12-06,109.00,111,106,107,1431500,153435400
MPOW,2021-12-03,109.00,111,108,108,2227300,242827400
MPOW,2021-12-02,106.00,112,105,108,4256600,461483100
MPOW,2021-12-01,111.00,112,101,105,9537800,1022836200
MPOW,2021-11-30,107.00,114,104,106,9628700,1053649800
MPOW,2021-11-29,110.00,110,104,105,3411000,359300300
MPOW,2021-11-26,115.00,114,107,109,3185200,350788100
MPOW,2021-11-25,115.00,115,111,113,3031000,342313000
MPOW,2021-11-24,118.00,119,113,115,6753700,776436600
MPOW,2021-11-23,118.00,123,115,117,21833900,2607089600
MPOW,2021-11-22,120.00,121,118,119,1019800,121269900
MPOW,2021-11-19,119.00,121,117,120,6329300,749307600
MPOW,2021-11-18,118.00,121,117,118,2438600,288888000
MPOW,2021-11-17,119.00,120,117,118,3833300,452621600
MPOW,2021-11-16,117.00,123,117,119,3546700,422196500
MPOW,2021-11-15,117.00,124,117,121,24036700,2921117300
MPOW,2021-11-12,117.00,121,117,118,3436400,407228200
MPOW,2021-11-11,117.00,124,117,120,21152200,2560392100
MPOW,2021-11-10,117.00,121,117,117,13925500,1640917800
MPOW,2021-11-09,123.00,125,118,121,8117800,980004000
MPOW,2021-11-08,119.00,125,119,123,3514600,429531400
MPOW,2021-11-05,125.00,127,121,123,6928700,853176500
MPOW,2021-11-04,123.00,128,123,126,4698600,590976700
MPOW,2021-11-03,119.00,127,119,125,3665600,456492300
MPOW,2021-11-02,124.00,127,124,126,3626400,456344200
MPOW,2021-11-01,132.00,132,124,125,14486000,1835909100
MPOW,2021-10-29,128.00,135,127,132,9308000,1205182400
MPOW,2021-10-28,119.00,129,119,127,6318600,791748000
MPOW,2021-10-27,124.00,136,124,127,16463400,2151128900
MPOW,2021-10-26,129.00,134,129,129,5525300,720621400
MPOW,2021-10-25,135.00,135,128,131,6401200,833816500
MPOW,2021-10-22,138.00,141,132,135,21854000,2959073900
MPOW,2021-10-21,126.00,138,124,137,42120300,5611824700
MPOW,2021-10-19,123.00,128,123,126,6177000,782958300
MPOW,2021-10-18,122.00,126,122,123,3455900,426837700
MPOW,2021-10-15,124,129,119,124,13743100,1692110200
MPOW,2021-10-14,124,128,115,125,19386500,2365658300
MPOW,2021-10-13,131,132,123,123,9253900,1178249500
MPOW,2021-10-12,131,134,129,132,7195900,947987500
MPOW,2021-10-11,134,138,130,131,27083300,3614871200
MPOW,2021-10-08,140,143,132,134,10615500,1443198000
MPOW,2021-10-07,146,147,139,140,26906500,3836675400
MPOW,2021-10-06,131,146,129,145,103015900,14556002000
MPOW,2021-10-05,138,139,131,131,19516900,2620658400
MPOW,2021-10-04,134,138,126,138,30770200,4128818400
MPOW,2021-10-01,143,146,133,133,35333300,4838180300
MPOW,2021-09-30,144,152,142,143,78765900,11650607600
MPOW,2021-09-29,143,148,135,144,27132800,3876037100
MPOW,2021-09-28,142,150,137,142,48318800,7007117600
MPOW,2021-09-27,138,151,138,141,22197000,3239446900
MPOW,2021-09-24,147,154,144,146,73016500,10901764700
MPOW,2021-09-23,151,152,142,147,52845100,7691123700
MPOW,2021-09-22,136,160,134,150,318763700,48333152900
MPOW,2021-09-21,139,142,130,135,25460000,3482562500
MPOW,2021-09-20,139,145,137,139,29040000,4093875300
MPOW,2021-09-17,138,143,136,138,18665000,2596278700
MPOW,2021-09-16,140,147,138,141,33846400,4830707600
MPOW,2021-09-15,144,147,138,139,19077500,2696845500
MPOW,2021-09-14,133,147,133,144,61834500,8769654200
