id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MSIN,2022-01-31,3110.00,3320,3100,3300,3495200,11281705000
MSIN,2022-01-28,3100.00,3200,2960,3100,2802500,8683588000
MSIN,2022-01-27,3180.00,3180,3040,3080,1853300,5743802000
MSIN,2022-01-26,3130.00,3230,3060,3140,20278500,63731931000
MSIN,2022-01-25,3100.00,3280,2910,3130,5055300,15391757000
MSIN,2022-01-24,3050.00,3290,3000,3100,9998400,31366401000
MSIN,2022-01-21,2750.00,3000,2750,3000,5366500,15981697000
MSIN,2022-01-20,2520.00,2730,2510,2730,5580800,15001589000
MSIN,2022-01-19,2370.00,2600,2330,2490,7539800,18978387000
MSIN,2022-01-18,2430.00,2460,2350,2370,7145500,17185327000
MSIN,2022-01-17,2340.00,2480,2270,2420,9676400,23274983000
MSIN,2022-01-14,2150.00,2350,2000,2340,16756700,37753813000
MSIN,2022-01-13,1960.00,2150,1910,2150,12608300,26315098500
MSIN,2022-01-12,1960.00,1985,1835,1960,8401800,16133526000
MSIN,2022-01-11,1900.00,2010,1900,1960,14149000,27709927500
