id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MSKY,2022-01-03,650.00,650,560,560,2414600,1393282000
MSKY,2021-12-30,515.00,600,500,600,46437500,27447573000
MSKY,2021-12-29,410.00,482,404,482,38301900,18101876400
MSKY,2021-12-28,320.00,386,320,386,12451000,4716615800
MSKY,2021-12-27,318.00,318,310,310,161400,51030800
MSKY,2021-12-24,308.00,322,308,318,118900,37637800
MSKY,2021-12-23,306.00,310,304,308,24700,7587800
MSKY,2021-12-22,308.00,340,304,308,1016300,314155000
MSKY,2021-12-20,304.00,308,304,308,11400,3470400
MSKY,2021-12-17,304.00,310,304,310,45500,14079000
MSKY,2021-12-16,314.00,320,310,310,186900,58429600
MSKY,2021-12-14,320.00,320,304,306,53500,16300600
MSKY,2021-12-08,310.00,310,304,310,71900,22183800
MSKY,2021-12-07,312.00,320,308,308,25400,7884600
MSKY,2021-12-06,320.00,334,304,314,857400,279160800
MSKY,2021-12-03,310.00,320,310,320,11600,3679200
MSKY,2021-11-30,310.00,316,306,312,32000,9943200
MSKY,2021-11-29,324.00,324,302,304,330400,101550400
MSKY,2021-11-26,336.00,336,308,324,420900,132927800
MSKY,2021-11-25,336.00,338,330,330,43600,14428200
MSKY,2021-11-24,340.00,340,334,336,24100,8157600
MSKY,2021-11-23,332.00,342,330,340,62200,21215800
MSKY,2021-11-22,332.00,346,332,340,32600,11077800
MSKY,2021-11-19,332.00,344,332,332,41600,13872600
MSKY,2021-11-18,338.00,338,326,334,11300,3743200
MSKY,2021-11-17,336.00,338,328,328,51200,16886800
MSKY,2021-11-16,344.00,344,326,332,90300,30215400
MSKY,2021-11-15,344.00,346,334,344,16900,5692600
MSKY,2021-11-12,342.00,348,336,344,37600,12807400
MSKY,2021-11-10,350.00,352,332,346,187400,64361200
MSKY,2021-11-09,352.00,352,348,348,159100,55458800
MSKY,2021-11-08,342.00,354,340,352,372900,129345600
MSKY,2021-11-05,366.00,396,342,344,7228000,2739274600
MSKY,2021-11-04,362.00,366,362,366,33600,12199400
MSKY,2021-11-03,366.00,366,362,362,48300,17587400
MSKY,2021-11-02,366.00,368,364,366,62700,22890000
MSKY,2021-11-01,358.00,372,358,366,478000,174222200
MSKY,2021-10-29,358.00,364,358,360,107000,38630400
MSKY,2021-10-28,358.00,360,354,356,40400,14376000
MSKY,2021-10-27,356.00,360,356,358,22800,8146800
MSKY,2021-10-25,356.00,360,356,356,28200,10102200
MSKY,2021-10-22,358.00,360,352,356,29800,10656600
MSKY,2021-10-21,346.00,364,346,360,114500,40838600
MSKY,2021-10-19,344.00,348,342,348,29300,10136600
MSKY,2021-10-18,344.00,350,342,348,38800,13478400
MSKY,2021-10-15,340,342,334,342,15800,5327400
MSKY,2021-10-14,348,348,336,340,82900,28211200
MSKY,2021-10-13,344,348,342,342,54200,18732600
MSKY,2021-10-12,348,352,342,346,207600,71748600
MSKY,2021-10-11,346,358,344,356,86700,30174400
MSKY,2021-10-08,348,360,344,344,40500,14052400
MSKY,2021-10-07,356,356,346,348,24500,8513400
MSKY,2021-10-05,350,360,350,358,21400,7659000
MSKY,2021-10-04,348,368,340,350,80400,28004000
MSKY,2021-10-01,350,350,340,348,148100,50892800
MSKY,2021-09-30,352,352,348,350,37300,13049800
MSKY,2021-09-29,350,360,350,350,58400,20479600
MSKY,2021-09-28,368,368,344,350,254700,89427200
MSKY,2021-09-27,366,368,360,368,18100,6550000
MSKY,2021-09-24,364,368,364,368,156500,57010000
MSKY,2021-09-23,368,368,364,368,17800,6531400
MSKY,2021-09-22,370,370,366,368,13300,4870000
MSKY,2021-09-21,368,370,366,370,61600,22704000
MSKY,2021-09-20,368,368,362,368,50500,18387000
MSKY,2021-09-17,372,374,370,370,62500,23177000
MSKY,2021-09-16,376,376,352,374,35900,13099400
MSKY,2021-09-14,370,380,370,378,24400,9137400
MSKY,2021-09-13,370,372,368,370,70500,26078200
MSKY,2021-09-10,378,378,372,372,15200,5672400
MSKY,2021-09-09,372,378,372,376,14700,5478800
MSKY,2021-09-08,380,380,372,372,11900,4476400
MSKY,2021-09-07,374,378,374,378,26900,10081000
MSKY,2021-09-06,374,384,372,374,25800,9682800
MSKY,2021-09-02,376,380,370,374,43900,16379200
MSKY,2021-09-01,376,378,374,376,65400,24606400
MSKY,2021-08-31,376,380,370,376,38500,14353600
MSKY,2021-08-30,386,386,376,378,81200,30957000
MSKY,2021-08-27,388,390,382,384,52800,20321200
MSKY,2021-08-26,382,382,378,380,310400,117992200
MSKY,2021-08-25,376,378,376,378,963800,364216000
MSKY,2021-08-24,386,386,376,376,852400,320575000
MSKY,2021-08-23,380,380,376,376,83300,31435800
MSKY,2021-08-20,368,390,368,380,33300,12695200
MSKY,2021-08-19,380,380,376,380,149000,56289800
MSKY,2021-08-16,390,390,362,386,69800,26624200
MSKY,2021-08-13,392,394,380,388,23500,9110600
MSKY,2021-08-12,386,392,382,392,50000,19298000
