id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MTLA,2022-01-03,468.00,468,428,428,917100,395377800
MTLA,2021-12-30,422.00,460,410,460,78060000,34362452200
MTLA,2021-12-29,404.00,422,390,422,15680200,6603553000
MTLA,2021-12-28,404.00,404,400,400,21500,8628800
MTLA,2021-12-27,400.00,404,394,404,553700,220458800
MTLA,2021-12-24,400.00,400,392,400,114500,45421800
MTLA,2021-12-23,400.00,400,390,400,748200,295927400
MTLA,2021-12-22,402.00,402,394,398,180600,71787800
MTLA,2021-12-21,398.00,404,390,400,294300,116864400
MTLA,2021-12-20,404.00,412,394,402,25800,10345000
MTLA,2021-12-17,402.00,412,396,404,35000,14014400
MTLA,2021-12-16,414.00,414,394,404,227700,90889200
MTLA,2021-12-15,412.00,418,402,414,704100,293360400
MTLA,2021-12-14,410.00,414,398,414,283300,114759200
MTLA,2021-12-13,420.00,420,408,414,745500,309758000
MTLA,2021-12-10,416.00,422,408,418,3764800,1580571600
MTLA,2021-12-09,404.00,420,402,416,2278700,954913600
MTLA,2021-12-08,416.00,416,398,404,1016700,415620000
MTLA,2021-12-07,410.00,422,400,402,973000,407433400
MTLA,2021-12-06,418.00,420,406,412,865000,362533600
MTLA,2021-12-03,422.00,424,406,418,2796700,1178972800
MTLA,2021-12-02,420.00,424,400,418,1993500,835248200
MTLA,2021-12-01,400.00,424,394,420,678700,281010800
MTLA,2021-11-30,390.00,404,390,402,153500,61220000
MTLA,2021-11-29,408.00,408,382,394,197600,77341600
MTLA,2021-11-26,414.00,428,408,408,471600,194012200
MTLA,2021-11-25,414.00,436,414,416,265000,112662000
MTLA,2021-11-24,410.00,430,406,414,2771600,1163907600
MTLA,2021-11-23,414.00,416,406,410,121100,49322400
MTLA,2021-11-22,414.00,420,402,412,276400,112998800
MTLA,2021-11-19,410.00,426,408,414,374700,154698000
MTLA,2021-11-18,436.00,436,410,410,480200,200761800
MTLA,2021-11-17,420.00,438,398,426,675500,281678000
MTLA,2021-11-16,460.00,460,420,422,2662900,1135782600
MTLA,2021-11-15,450.00,545,442,450,12572800,6281896000
MTLA,2021-11-12,360.00,448,350,436,3205800,1351398800
MTLA,2021-11-11,356.00,364,352,360,322800,114611000
