id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MTPS,2022-01-31,89.00,95,89,93,3357800,310578300
MTPS,2022-01-28,97.00,99,92,95,3292700,310972200
MTPS,2022-01-27,98.00,105,97,97,3744100,370639200
MTPS,2022-01-26,98.00,106,98,104,1738000,180390300
MTPS,2022-01-25,117.00,117,104,105,4668200,500217300
MTPS,2022-01-24,106.00,112,106,108,3775400,410971000
MTPS,2022-01-21,105.00,111,105,108,2734300,294027400
MTPS,2022-01-20,107.00,117,107,109,5017600,558246900
MTPS,2022-01-19,114.00,116,110,115,11754000,1339732900
MTPS,2022-01-18,110.00,117,110,114,7765400,887211100
MTPS,2022-01-17,119.00,122,111,111,16494200,1903853100
MTPS,2022-01-14,121.00,127,117,117,13878600,1692632500
MTPS,2022-01-13,105.00,132,103,125,84452900,10569683500
MTPS,2022-01-12,112.00,115,105,105,5147900,557958900
MTPS,2022-01-11,104.00,128,103,111,48101200,5654699400
