id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
MYTX,2022-01-03,83.00,90,80,82,965300,79796200
MYTX,2021-12-30,87.00,87,83,83,820000,69161900
MYTX,2021-12-29,87.00,90,86,86,1130900,98710200
MYTX,2021-12-28,87.00,97,87,88,3815200,352133500
MYTX,2021-12-27,88.00,90,87,89,534600,47001900
MYTX,2021-12-24,86.00,92,86,89,482500,43115300
MYTX,2021-12-23,90.00,94,90,90,1440400,132361000
MYTX,2021-12-22,90.00,94,90,91,807900,73430500
MYTX,2021-12-21,90.00,97,90,92,4594400,429144700
MYTX,2021-12-20,89.00,95,89,91,1467400,135393000
MYTX,2021-12-17,93.00,98,93,94,1358100,128812100
MYTX,2021-12-16,96.00,99,93,94,2618100,248882900
MYTX,2021-12-15,101.00,101,95,99,2882400,282617500
MYTX,2021-12-14,99.00,104,95,100,9921200,1001579200
MYTX,2021-12-13,100.00,101,97,97,1973600,193090000
MYTX,2021-12-10,93.00,102,93,100,4479000,443396300
MYTX,2021-12-09,99.00,102,98,98,2338200,231646700
MYTX,2021-12-08,94.00,107,94,99,7148900,737846900
MYTX,2021-12-07,96.00,109,96,100,16774100,1733801700
MYTX,2021-12-06,111.00,111,103,103,13787100,1464105800
MYTX,2021-12-03,106.00,121,100,110,99989000,11245640200
MYTX,2021-12-02,75.00,106,75,106,28064400,2733410700
MYTX,2021-12-01,79.00,86,79,79,1628800,130248700
MYTX,2021-11-30,87.00,87,81,83,750600,63261900
MYTX,2021-11-29,80.00,87,80,87,260600,22194100
MYTX,2021-11-26,86.00,88,84,86,743700,63754300
MYTX,2021-11-25,86.00,90,85,86,913000,79167400
MYTX,2021-11-24,90.00,90,87,87,1137700,99587900
MYTX,2021-11-23,89.00,92,88,90,1360000,121819000
MYTX,2021-11-22,91.00,91,88,88,925000,82143300
MYTX,2021-11-19,90.00,94,89,91,1061600,96027200
MYTX,2021-11-18,85.00,95,85,92,3456500,316927900
MYTX,2021-11-17,84.00,95,84,91,5084800,458080200
MYTX,2021-11-16,85.00,102,85,89,31063500,2931902000
MYTX,2021-11-15,90.00,94,85,88,6021200,531721300
MYTX,2021-11-12,84.00,101,84,90,30580500,2905645900
MYTX,2021-11-11,81.00,88,81,86,654400,55756300
MYTX,2021-11-10,88.00,88,85,86,497500,42844600
MYTX,2021-11-09,80.00,88,80,86,1420100,121804700
MYTX,2021-11-08,86.00,90,84,85,3434200,295417200
MYTX,2021-11-05,110.00,110,85,86,7007000,616595500
MYTX,2021-11-04,80.00,101,80,91,58164500,5474662800
MYTX,2021-11-03,80.00,85,79,80,4222800,345148900
MYTX,2021-11-02,78.00,92,78,80,24720600,2147675700
MYTX,2021-11-01,74.00,79,74,78,502800,38750200
MYTX,2021-10-29,80.00,80,73,76,670700,50712600
MYTX,2021-10-28,77.00,82,76,76,1934400,148917500
MYTX,2021-10-27,73.00,83,72,81,5036700,398935500
MYTX,2021-10-26,76.00,77,72,75,2010200,147047800
MYTX,2021-10-25,69.00,91,69,75,17400000,1461133000
MYTX,2021-10-22,76.00,76,71,73,508000,36705100
MYTX,2021-10-21,75.00,76,72,74,575000,41841100
MYTX,2021-10-19,74.00,80,70,76,2412100,183364900
MYTX,2021-10-18,68.00,75,68,73,444500,32015200
MYTX,2021-10-15,68,73,68,73,87000,6263400
MYTX,2021-10-14,77,77,71,73,228400,16421000
MYTX,2021-10-13,73,81,73,73,458600,33777900
MYTX,2021-10-12,77,79,75,78,394800,30160000
MYTX,2021-10-11,79,80,78,78,58200,4553000
MYTX,2021-10-08,78,79,77,79,91600,7142000
MYTX,2021-10-07,76,79,76,78,165200,12829500
MYTX,2021-10-06,79,80,77,78,460700,35787100
MYTX,2021-10-05,79,83,78,79,2056500,165309300
MYTX,2021-10-04,83,83,78,79,636400,50880300
MYTX,2021-10-01,85,85,79,80,1261300,101239500
MYTX,2021-09-30,82,88,81,81,840000,69089300
MYTX,2021-09-29,82,87,82,84,996300,83573700
MYTX,2021-09-28,83,96,82,83,13193700,1182151600
MYTX,2021-09-27,85,87,82,83,872900,72762400
MYTX,2021-09-24,82,90,82,85,3052100,265006200
MYTX,2021-09-23,83,85,81,83,1092700,90295000
MYTX,2021-09-22,81,85,81,84,320500,26470200
MYTX,2021-09-21,82,84,81,83,334900,27439500
MYTX,2021-09-20,82,86,81,82,2478700,207314800
MYTX,2021-09-17,81,83,81,81,250500,20327900
MYTX,2021-09-16,81,82,81,81,560500,45718700
MYTX,2021-09-15,81,85,81,83,610700,50469800
MYTX,2021-09-14,82,88,81,83,2322400,195546500
MYTX,2021-09-13,83,84,81,82,746800,60946400
MYTX,2021-09-10,84,85,82,83,1008400,83731200
MYTX,2021-09-09,86,95,83,84,9157100,817602400
MYTX,2021-09-08,79,86,79,83,1592200,133543000
MYTX,2021-09-07,79,82,79,80,532500,42864900
MYTX,2021-09-06,83,85,79,80,1777500,145371100
MYTX,2021-09-03,82,96,81,83,19838500,1778241400
MYTX,2021-09-02,81,83,79,82,417800,33884600
MYTX,2021-09-01,79,84,79,81,495000,40235800
MYTX,2021-08-31,78,81,78,80,292300,23434500
MYTX,2021-08-30,80,80,76,80,519100,40899500
MYTX,2021-08-27,82,85,79,80,1513100,122121500
MYTX,2021-08-26,86,88,82,83,1078300,90954500
MYTX,2021-08-25,87,89,84,86,910300,78984500
MYTX,2021-08-24,86,89,86,87,849500,73939800
MYTX,2021-08-23,88,96,87,88,5910600,540495900
MYTX,2021-08-20,80,100,79,86,19045100,1761705800
MYTX,2021-08-19,85,85,80,80,182500,14719100
MYTX,2021-08-18,83,86,80,83,459800,37296600
MYTX,2021-08-16,81,87,79,83,491300,39922000
MYTX,2021-08-13,83,92,80,81,964900,82428000
MYTX,2021-08-12,86,88,84,85,172600,14616000
