id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
NASA,2022-01-03,61.00,62,60,62,1040600,63364600
NASA,2021-12-30,61.00,62,60,61,1849900,112594600
NASA,2021-12-29,62.00,63,61,62,1432100,87714600
NASA,2021-12-28,61.00,63,61,62,1894200,117045900
NASA,2021-12-27,61.00,63,60,61,4619100,282621100
NASA,2021-12-24,66.00,66,61,61,7819100,487614100
NASA,2021-12-23,62.00,69,62,65,25937500,1705477900
NASA,2021-12-22,62.00,63,61,62,1222800,75892500
NASA,2021-12-21,63.00,64,61,62,1805700,112813200
NASA,2021-12-20,63.00,63,61,63,2286200,141316200
NASA,2021-12-17,63.00,64,61,62,2634200,163574500
NASA,2021-12-16,64.00,64,61,63,1879400,115785200
NASA,2021-12-15,65.00,65,61,61,2125900,131730500
NASA,2021-12-14,63.00,68,63,64,10237300,665365200
NASA,2021-12-13,64.00,64,62,63,1028200,64665000
NASA,2021-12-10,65.00,65,62,64,3891900,249003800
NASA,2021-12-09,63.00,65,63,64,2680900,171155800
NASA,2021-12-08,65.00,66,62,63,4590600,293153000
NASA,2021-12-07,61.00,71,61,64,35324700,2338868200
NASA,2021-12-06,62.00,63,60,61,3253500,199972500
NASA,2021-12-03,62.00,63,61,62,750200,46406500
NASA,2021-12-02,63.00,64,60,62,4242100,261932000
NASA,2021-12-01,64.00,65,62,62,3286400,206532600
NASA,2021-11-30,66.00,67,63,64,2896400,186724600
NASA,2021-11-29,67.00,67,65,65,2216800,144706400
NASA,2021-11-26,66.00,67,65,67,2420800,159864400
NASA,2021-11-25,66.00,69,66,67,3320900,221377600
NASA,2021-11-24,67.00,68,66,66,1932500,128691900
NASA,2021-11-23,68.00,69,66,67,3593800,241365000
NASA,2021-11-22,68.00,69,67,68,4671200,317525200
NASA,2021-11-19,68.00,69,67,68,4933200,334661100
NASA,2021-11-18,65.00,69,65,68,9779600,661786400
NASA,2021-11-17,67.00,69,64,65,7361100,488951200
NASA,2021-11-16,69.00,70,67,67,7147200,483345200
NASA,2021-11-15,69.00,70,68,69,2390200,164329400
NASA,2021-11-12,69.00,70,68,69,6409900,441842600
NASA,2021-11-11,69.00,71,68,69,9989300,691093700
NASA,2021-11-10,69.00,70,69,69,3990200,275670500
NASA,2021-11-09,70.00,71,69,69,5231200,362507500
NASA,2021-11-08,70.00,71,69,70,4840400,337997500
NASA,2021-11-05,71.00,71,69,69,4389600,307616600
NASA,2021-11-04,71.00,71,69,70,5579200,390741600
NASA,2021-11-03,69.00,74,69,71,24292000,1726297600
NASA,2021-11-02,70.00,71,69,69,3808900,265672300
NASA,2021-11-01,71.00,71,69,70,4352900,304581700
NASA,2021-10-29,69.00,72,69,69,6914600,482199200
NASA,2021-10-28,71.00,72,69,70,7376700,517788000
NASA,2021-10-27,69.00,74,69,71,33275300,2387032700
NASA,2021-10-26,70.00,70,68,69,14757400,1016799600
NASA,2021-10-25,71.00,72,69,70,7254500,504493000
NASA,2021-10-22,72.00,72,69,71,11383500,801581900
NASA,2021-10-21,70.00,76,70,71,47912600,3499266000
NASA,2021-10-19,70.00,73,69,70,23080400,1633603100
NASA,2021-10-18,70.00,71,69,70,8256100,574088000
NASA,2021-10-15,68,71,68,69,12446300,860238700
NASA,2021-10-14,70,72,68,68,13387400,926986500
