id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
NASI,2022-01-03,226.00,250,226,236,10962300,2648311800
NASI,2021-12-30,224.00,228,222,224,1068800,238956600
NASI,2021-12-29,230.00,234,220,224,2325900,522529400
NASI,2021-12-28,220.00,256,218,230,11784400,2825578000
NASI,2021-12-27,220.00,224,216,220,1507600,332389000
NASI,2021-12-24,222.00,224,218,220,1034000,227682200
NASI,2021-12-23,222.00,224,210,220,3220700,704755600
NASI,2021-12-22,222.00,226,220,222,2058400,459503000
NASI,2021-12-21,220.00,224,216,220,5300100,1165522200
NASI,2021-12-20,218.00,226,214,220,6586000,1448601400
NASI,2021-12-17,0,236,210,216,10447900,2314429400
NASI,2021-12-16,0,230,214,214,14599000,3156944800
NASI,2021-12-15,0,248,228,228,41196100,9496203000
NASI,2021-12-14,0,260,228,244,228710700,56862467800
NASI,2021-12-13,0,208,150,208,105451400,21065147900
