id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
NELY,2022-01-03,314.00,316,290,292,4326700,1272118200
NELY,2021-12-30,326.00,338,308,308,5161400,1655717000
NELY,2021-12-29,318.00,324,300,324,6256000,1969065400
NELY,2021-12-28,344.00,350,316,318,7099100,2302648400
NELY,2021-12-27,312.00,344,312,334,14872400,4925608800
NELY,2021-12-24,310.00,322,290,312,17204700,5254090200
NELY,2021-12-23,324.00,378,310,310,37796800,13041969200
NELY,2021-12-22,350.00,356,332,332,7960900,2670340400
NELY,2021-12-21,380.00,380,356,356,7982800,2876106600
NELY,2021-12-20,394.00,410,382,382,1756900,672523200
NELY,2021-12-17,442.00,515,410,410,28242000,13128163500
NELY,2021-12-16,370.00,440,370,440,29491300,12321646600
NELY,2021-12-15,296.00,370,296,356,55320100,19085805600
NELY,2021-12-14,288.00,306,286,296,9039000,2697112000
NELY,2021-12-13,278.00,296,272,288,5283000,1507855400
NELY,2021-12-10,272.00,278,272,276,1392200,382658200
NELY,2021-12-09,274.00,278,268,274,2801400,764157800
NELY,2021-12-08,264.00,276,264,272,2800200,755984000
NELY,2021-12-07,266.00,268,262,264,1366800,362477200
NELY,2021-12-06,250.00,282,250,266,6703300,1786415600
NELY,2021-12-03,250.00,250,246,250,760100,188047400
NELY,2021-12-02,238.00,250,236,246,1667100,408860000
NELY,2021-12-01,244.00,244,234,240,1814800,431094200
NELY,2021-11-30,238.00,252,232,244,2909300,701042400
NELY,2021-11-29,242.00,242,228,238,2321700,540534200
NELY,2021-11-26,256.00,256,240,244,1442400,356192200
NELY,2021-11-25,256.00,260,252,254,1622400,414929000
NELY,2021-11-24,274.00,276,256,256,5359100,1414600000
NELY,2021-11-23,284.00,294,270,274,1698200,475291600
NELY,2021-11-22,272.00,310,272,286,14509600,4193289000
NELY,2021-11-19,250.00,274,248,274,5703000,1496219600
NELY,2021-11-18,240.00,252,238,250,2843200,701354000
NELY,2021-11-17,244.00,246,236,240,2274000,546035200
NELY,2021-11-16,226.00,270,226,242,20162600,5049994600
NELY,2021-11-15,222.00,226,222,226,1679600,377508000
NELY,2021-11-12,226.00,230,222,222,1172900,264112800
NELY,2021-11-11,220.00,228,218,228,2195900,489733000
NELY,2021-11-10,222.00,224,218,222,579700,127861000
NELY,2021-11-09,226.00,228,220,222,2045500,459612600
NELY,2021-11-08,222.00,226,220,226,1356400,303204600
NELY,2021-11-05,228.00,230,222,222,1342900,301722400
NELY,2021-11-04,224.00,234,222,230,3514500,805120600
NELY,2021-11-03,218.00,228,216,224,2672100,594567000
NELY,2021-11-02,218.00,220,216,216,750400,163216600
NELY,2021-11-01,222.00,222,218,218,771000,168282600
NELY,2021-10-29,218.00,220,216,220,1567500,341845800
NELY,2021-10-28,220.00,220,216,218,811100,176696000
NELY,2021-10-27,214.00,222,214,220,2107100,457656000
NELY,2021-10-26,214.00,216,212,214,404500,86616600
NELY,2021-10-25,214.00,216,212,214,525200,112239400
NELY,2021-10-22,214.00,216,210,214,821800,175362600
NELY,2021-10-21,214.00,216,214,216,668600,143568200
NELY,2021-10-19,214.00,214,212,214,671600,143666800
NELY,2021-10-18,214.00,216,210,214,869500,185118600
NELY,2021-10-15,214,216,210,216,1001600,213659400
NELY,2021-10-14,228,228,214,214,1566200,339927400
NELY,2021-10-13,226,236,226,230,5184000,1183137800
NELY,2021-10-12,228,228,224,228,2304100,521328600
NELY,2021-10-11,224,228,222,228,1910400,429626800
NELY,2021-10-08,224,228,214,224,3694600,823589600
NELY,2021-10-07,208,248,208,224,12351100,2759084400
NELY,2021-10-06,208,216,208,208,1004700,210599800
NELY,2021-10-05,208,210,202,206,903100,186974400
NELY,2021-10-04,204,210,204,210,1311400,271068600
NELY,2021-10-01,206,208,202,204,1047200,214531800
NELY,2021-09-30,196,208,196,208,3685200,741828800
NELY,2021-09-29,196,206,195,196,4719500,947456800
NELY,2021-09-28,195,197,195,197,1042500,203996600
NELY,2021-09-27,194,197,194,195,762600,148826100
NELY,2021-09-24,195,197,194,194,980800,191445700
NELY,2021-09-23,195,196,194,195,566800,110541600
NELY,2021-09-22,191,195,191,195,425500,81925300
NELY,2021-09-21,194,194,191,191,442700,84870700
NELY,2021-09-20,193,196,193,194,1058500,205345500
NELY,2021-09-17,197,198,194,194,654800,128231100
NELY,2021-09-16,192,199,192,198,3953500,775328900
NELY,2021-09-15,192,193,192,192,997500,192107400
NELY,2021-09-14,194,196,193,193,1391000,270359000
NELY,2021-09-13,199,199,193,194,1975100,386290700
NELY,2021-09-10,191,206,190,199,8098600,1605100000
NELY,2021-09-09,194,195,192,192,437000,84653900
NELY,2021-09-08,195,195,194,195,601800,116947500
NELY,2021-09-07,194,196,194,196,546800,106367300
NELY,2021-09-06,195,195,193,194,415800,80780900
NELY,2021-09-03,193,195,192,195,292600,56674100
NELY,2021-09-02,193,194,192,193,537100,103826300
NELY,2021-09-01,195,196,192,193,753000,146382100
NELY,2021-08-31,194,195,193,195,473500,92133700
NELY,2021-08-30,192,194,192,194,917600,176961900
NELY,2021-08-27,194,195,192,192,580100,112151700
NELY,2021-08-26,191,200,191,195,2985600,582109300
NELY,2021-08-25,191,192,191,191,564500,108067600
NELY,2021-08-24,192,193,190,190,553300,105856700
NELY,2021-08-23,191,193,191,192,453400,86796700
NELY,2021-08-20,191,193,190,191,263700,50431200
NELY,2021-08-19,195,195,191,191,391400,75256700
NELY,2021-08-18,198,199,193,195,542600,106085300
NELY,2021-08-16,204,206,198,198,902900,181338900
NELY,2021-08-13,212,218,204,206,3500300,739021600
NELY,2021-08-12,208,214,206,210,4387800,921897800
