id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
NOBU,2022-01-31,595.00,610,575,600,1292400,765469000
NOBU,2022-01-28,580.00,590,550,590,2980900,1706216500
NOBU,2022-01-27,545.00,580,540,565,2610400,1479912500
NOBU,2022-01-26,570.00,570,525,540,3613600,1944248500
NOBU,2022-01-25,560.00,585,555,560,1674600,949408000
NOBU,2022-01-24,575.00,590,545,560,2104500,1177171500
NOBU,2022-01-21,575.00,590,575,575,1106200,640339500
NOBU,2022-01-20,590.00,590,570,575,2284200,1313282000
NOBU,2022-01-19,605.00,605,565,590,2990700,1749868500
NOBU,2022-01-18,645.00,650,605,605,7116000,4383383000
NOBU,2022-01-17,660.00,675,645,650,1841000,1211124000
NOBU,2022-01-14,650.00,680,645,655,1934000,1272042000
NOBU,2022-01-13,650.00,650,630,650,961300,615898000
NOBU,2022-01-12,655.00,675,630,650,4152200,2680918500
NOBU,2022-01-11,700.00,700,655,660,4183700,2811687000
