id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
NPGF,2022-01-31,74.00,75,72,75,8673500,640316300
NPGF,2022-01-28,74.00,78,72,74,19199600,1425226600
NPGF,2022-01-27,75.00,78,73,74,23976300,1784651400
NPGF,2022-01-26,74.00,79,70,75,18885100,1422975700
NPGF,2022-01-25,78.00,81,73,74,31163900,2382448300
NPGF,2022-01-24,82.00,83,77,78,24683600,1950036800
NPGF,2022-01-21,85.00,86,82,82,20007900,1670639100
NPGF,2022-01-20,86.00,88,82,83,24721200,2081589100
NPGF,2022-01-19,85.00,91,80,86,83429800,7125910400
NPGF,2022-01-18,70.00,93,70,85,123743100,10360735400
NPGF,2022-01-17,69.00,74,68,70,20453500,1445091700
NPGF,2022-01-14,76.00,79,72,72,15180200,1133229600
NPGF,2022-01-13,82.00,83,77,77,10760600,854927500
NPGF,2022-01-12,87.00,89,82,82,19053100,1598859400
NPGF,2022-01-11,88.00,92,83,88,18862900,1663596500
