id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
OBMD,2022-01-03,120.00,126,119,126,5072000,614829300
OBMD,2021-12-30,134.00,135,126,126,4792200,606310500
OBMD,2021-12-29,121.00,138,120,135,23598700,3059442100
OBMD,2021-12-28,121.00,128,115,120,6652000,814805800
OBMD,2021-12-27,123.00,123,117,121,2537900,303863700
OBMD,2021-12-24,130.00,130,120,121,6766500,829192300
OBMD,2021-12-23,128.00,130,125,129,2471400,313710100
OBMD,2021-12-22,131.00,132,122,129,2455600,314156700
OBMD,2021-12-21,138.00,139,129,129,6323500,825239800
OBMD,2021-12-20,141.00,144,135,138,2754900,385229500
OBMD,2021-12-17,146.00,148,141,141,2611000,373503300
OBMD,2021-12-16,150.00,153,144,146,6908900,1019891900
OBMD,2021-12-15,141.00,152,141,150,15414100,2276594000
OBMD,2021-12-14,145.00,146,138,141,7622400,1072162500
OBMD,2021-12-13,148.00,151,141,144,8115300,1170604400
OBMD,2021-12-10,147.00,155,147,147,45076600,6699825700
OBMD,2021-12-09,168.00,168,157,157,9522000,1496552400
OBMD,2021-12-08,0,200,168,168,103737700,17908178000
