id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PANS,2022-01-03,1275.00,1295,1270,1275,343800,441145500
PANS,2021-12-30,1280.00,1300,1275,1275,167800,215329000
PANS,2021-12-29,1270.00,1290,1270,1275,120500,154399000
PANS,2021-12-28,1305.00,1305,1250,1255,2117900,2698759000
PANS,2021-12-27,1320.00,1370,1300,1300,746600,981827000
PANS,2021-12-24,1315.00,1325,1310,1315,52200,68927000
PANS,2021-12-23,1315.00,1325,1305,1310,68800,90541500
PANS,2021-12-22,1320.00,1330,1310,1315,33500,44200500
PANS,2021-12-21,1325.00,1340,1320,1320,91500,121290500
PANS,2021-12-20,1335.00,1335,1320,1325,28700,38091000
PANS,2021-12-17,1320.00,1340,1320,1335,36000,48003000
PANS,2021-12-16,1335.00,1345,1325,1340,91200,121432500
PANS,2021-12-15,1320.00,1335,1320,1335,27600,36458500
PANS,2021-12-14,1335.00,1340,1320,1320,148100,196341500
PANS,2021-12-13,1375.00,1375,1335,1335,139900,187372000
PANS,2021-12-10,1410.00,1410,1280,1340,625100,822856000
PANS,2021-12-09,1390.00,1390,1350,1370,317700,429468500
PANS,2021-12-08,1400.00,1400,1355,1365,45800,62949500
PANS,2021-12-07,1385.00,1385,1355,1360,224700,305691000
PANS,2021-12-06,1380.00,1380,1360,1360,21000,28598500
PANS,2021-12-03,1365.00,1375,1345,1360,273600,371327500
PANS,2021-12-02,1385.00,1385,1325,1375,170300,233685500
PANS,2021-12-01,1345.00,1385,1340,1385,55300,74838500
PANS,2021-11-30,1370.00,1385,1345,1350,99400,135165500
PANS,2021-11-29,1355.00,1385,1335,1370,109100,148089500
PANS,2021-11-26,1400.00,1415,1355,1355,356100,486234500
PANS,2021-11-25,1400.00,1410,1395,1400,610600,855105000
PANS,2021-11-24,1395.00,1400,1380,1400,166200,231973500
PANS,2021-11-23,1390.00,1410,1380,1395,90000,125412500
PANS,2021-11-22,1385.00,1430,1385,1410,95300,134249500
PANS,2021-11-19,1390.00,1445,1390,1415,73900,105290000
