id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PBSA,2021-12-27,720.00,795,670,730,11200,8165500
PBSA,2021-12-24,720.00,750,720,720,10500,7576000
PBSA,2021-12-23,700.00,750,700,720,11900,8713000
PBSA,2021-12-16,690.00,750,680,680,18800,13434500
PBSA,2021-12-13,710.00,725,695,715,24400,17405000
PBSA,2021-12-10,605.00,745,605,710,15300,10635500
PBSA,2021-11-24,715.00,745,655,680,10300,7154000
PBSA,2021-11-22,710.00,745,680,680,21000,14591500
PBSA,2021-11-12,740.00,800,700,745,10600,7796000
PBSA,2021-11-02,750.00,785,715,720,46500,33963500
PBSA,2021-10-29,665.00,720,665,720,19000,13453000
PBSA,2021-10-25,645.00,735,645,710,18400,12921000
PBSA,2021-10-21,735.00,735,685,700,59800,41897500
PBSA,2021-10-19,580.00,760,575,735,137600,101263000
PBSA,2021-10-18,650.00,650,610,610,15300,9582000
PBSA,2021-10-13,750,750,700,700,72100,50778500
PBSA,2021-10-12,630,785,630,750,496600,377534000
PBSA,2021-10-11,540,635,540,630,81100,47121500
PBSA,2021-10-06,520,565,520,555,26000,13777500
PBSA,2021-10-05,595,595,555,555,27500,15334500
PBSA,2021-09-30,585,600,560,575,19500,11219000
PBSA,2021-09-29,655,690,600,600,40900,26068000
PBSA,2021-09-28,700,700,610,640,83200,51874500
PBSA,2021-09-27,525,650,515,650,204800,129010500
PBSA,2021-09-24,525,650,510,520,102800,62127000
PBSA,2021-09-23,515,545,515,520,13900,7317000
PBSA,2021-09-22,515,565,510,535,18500,9863500
PBSA,2021-09-21,550,555,515,515,18200,9423000
PBSA,2021-09-20,505,620,505,550,64900,35106500
PBSA,2021-09-17,565,640,500,500,216300,129322000
PBSA,2021-09-16,535,550,500,515,22300,11447500
PBSA,2021-09-15,575,575,535,535,13500,7239500
PBSA,2021-09-14,570,640,535,575,24500,13488500
PBSA,2021-09-13,515,640,515,570,41600,24072000
PBSA,2021-09-10,515,640,515,515,20100,11285000
PBSA,2021-09-06,550,680,520,600,59200,36473000
