id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PEGE,2022-01-31,1130.00,1190,1100,1160,68500,79796000
PEGE,2022-01-28,1115.00,1230,1060,1120,234300,263908000
PEGE,2022-01-27,1100.00,1220,1090,1115,151600,174220500
PEGE,2022-01-26,1060.00,1100,995,1100,621500,640948500
PEGE,2022-01-25,1145.00,1200,1065,1065,214100,234127000
PEGE,2022-01-24,1135.00,1300,1120,1145,971100,1170802500
PEGE,2022-01-21,930.00,1150,880,1135,1134300,1173636500
PEGE,2022-01-20,950.00,950,910,930,149800,137929000
PEGE,2022-01-19,960.00,965,930,930,130600,124163000
PEGE,2022-01-18,880.00,970,880,950,128600,119869500
PEGE,2022-01-17,920.00,980,865,880,596100,532878500
PEGE,2022-01-14,975.00,975,930,930,1165600,1088378000
PEGE,2022-01-13,1030.00,1030,985,1000,670000,669373000
PEGE,2022-01-12,1065.00,1075,1000,1055,610000,625328500
PEGE,2022-01-11,1105.00,1105,1055,1070,767200,814232000
