id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PGLI,2022-01-31,344.00,350,322,346,451400,146623400
PGLI,2022-01-28,370.00,378,346,346,177500,62449200
PGLI,2022-01-27,350.00,384,350,370,80500,29977200
PGLI,2022-01-26,384.00,384,364,370,55400,20425400
PGLI,2022-01-25,378.00,384,346,384,339400,123339000
PGLI,2022-01-24,406.00,414,372,372,780500,299521800
PGLI,2022-01-21,402.00,408,390,398,385300,153399000
PGLI,2022-01-20,430.00,434,398,404,977000,394612600
PGLI,2022-01-19,390.00,432,390,426,117400,49457000
PGLI,2022-01-18,428.00,428,404,404,92800,38536200
PGLI,2022-01-17,398.00,428,366,424,280900,115310400
PGLI,2022-01-14,410.00,414,386,386,178200,69019000
PGLI,2022-01-13,398.00,444,372,414,1697000,643355000
PGLI,2022-01-12,426.00,426,398,398,260300,103787600
PGLI,2022-01-11,430.00,430,400,426,762600,305985800
