id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PJAA,2022-01-03,560.00,575,555,570,88100,49598500
PJAA,2021-12-30,580.00,580,560,560,187000,105842000
PJAA,2021-12-29,575.00,580,570,580,38000,21867500
PJAA,2021-12-27,585.00,585,570,580,19000,11018500
PJAA,2021-12-24,570.00,595,565,585,378000,222294500
PJAA,2021-12-23,585.00,585,570,575,23700,13685000
PJAA,2021-12-22,580.00,585,575,585,223500,129606000
PJAA,2021-12-21,585.00,590,565,580,62500,35759000
PJAA,2021-12-20,565.00,590,560,585,155600,88883000
PJAA,2021-12-17,565.00,575,565,565,18800,10671500
PJAA,2021-12-16,585.00,585,560,565,57600,32536500
PJAA,2021-12-15,585.00,585,570,585,108100,61973500
PJAA,2021-12-14,585.00,590,565,580,70100,40773000
PJAA,2021-12-13,565.00,585,565,585,83000,47869500
PJAA,2021-12-10,575.00,575,555,565,263700,147805500
PJAA,2021-12-09,570.00,580,570,575,32200,18400500
PJAA,2021-12-08,565.00,575,560,570,33900,19315500
PJAA,2021-12-07,555.00,560,555,560,48600,27051500
PJAA,2021-12-06,565.00,565,550,555,61900,34527500
PJAA,2021-12-03,555.00,570,555,565,25700,14503000
PJAA,2021-12-02,555.00,555,545,555,23600,12960500
PJAA,2021-12-01,545.00,545,540,545,171200,92901500
PJAA,2021-11-30,565.00,570,545,550,230300,127308000
PJAA,2021-11-29,560.00,565,550,560,394300,220194500
PJAA,2021-11-26,590.00,590,570,570,342300,198004000
PJAA,2021-11-25,590.00,595,585,590,97200,57207000
PJAA,2021-11-24,590.00,600,580,590,159900,93683000
PJAA,2021-11-23,595.00,605,590,590,64700,38879000
PJAA,2021-11-22,590.00,595,580,590,288500,169627500
PJAA,2021-11-19,590.00,600,585,590,290300,171034000
PJAA,2021-11-18,600.00,600,585,595,1051200,628006500
PJAA,2021-11-17,610.00,610,600,605,280600,168563000
PJAA,2021-11-16,605.00,615,600,610,116000,70251500
PJAA,2021-11-15,610.00,615,595,600,156400,93964500
PJAA,2021-11-12,600.00,615,600,605,646100,390118500
PJAA,2021-11-11,605.00,610,605,605,269300,162931500
PJAA,2021-11-10,605.00,605,600,605,33200,20009500
PJAA,2021-11-09,605.00,610,595,605,164000,98471000
PJAA,2021-11-08,595.00,610,595,605,78400,47054500
PJAA,2021-11-05,605.00,605,590,595,187600,112264500
PJAA,2021-11-04,605.00,610,600,605,112100,67713000
PJAA,2021-11-03,595.00,610,595,605,214900,128824000
PJAA,2021-11-02,610.00,610,595,600,212400,128327500
PJAA,2021-11-01,610.00,615,600,610,138600,84140000
PJAA,2021-10-29,585.00,610,580,610,476200,283922500
PJAA,2021-10-28,605.00,605,585,585,765100,456189500
PJAA,2021-10-27,615.00,615,600,610,538600,328189500
PJAA,2021-10-26,625.00,625,600,615,476400,292579500
PJAA,2021-10-25,620.00,630,600,625,430000,267101500
PJAA,2021-10-22,625.00,635,600,625,427600,266630000
PJAA,2021-10-21,615.00,635,615,625,2084200,1305919000
PJAA,2021-10-19,615.00,620,610,615,467100,286776500
PJAA,2021-10-18,600.00,620,595,615,1035100,625837500
PJAA,2021-10-15,585,595,580,595,419900,247707000
PJAA,2021-10-14,585,590,580,585,339000,198643500
PJAA,2021-10-13,590,595,575,585,559600,326616000
PJAA,2021-10-12,590,595,585,590,352700,208796000
PJAA,2021-10-11,575,590,565,590,420900,243691500
PJAA,2021-10-08,560,590,555,570,952700,545041000
PJAA,2021-10-07,560,560,545,555,789400,436547000
PJAA,2021-10-06,560,560,545,560,342200,189626500
PJAA,2021-10-05,560,560,545,560,540800,298677000
PJAA,2021-10-04,535,560,535,560,546800,300465000
PJAA,2021-10-01,530,540,525,535,157600,83091500
PJAA,2021-09-30,525,540,520,535,67800,35839000
PJAA,2021-09-29,525,535,520,525,52100,27372500
PJAA,2021-09-28,530,540,515,535,298900,157365000
PJAA,2021-09-27,535,545,530,540,65500,35099500
PJAA,2021-09-24,540,540,530,540,74300,39662000
