id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PLIN,2022-01-31,2050.00,2050,2050,2050,200,410000
PLIN,2022-01-28,2050.00,2070,2050,2050,1600,3294000
PLIN,2022-01-27,2060.00,2100,2060,2070,6100,12784000
PLIN,2022-01-26,2060.00,2060,2060,2060,300,618000
PLIN,2022-01-25,2100.00,2150,2060,2150,800,1661000
PLIN,2022-01-24,2060.00,2310,2050,2050,18400,38042000
PLIN,2022-01-21,2060.00,2340,2050,2050,130300,268033000
PLIN,2022-01-20,2380.00,2380,2200,2200,3300,7473000
PLIN,2022-01-19,1990.00,2390,1985,2360,35500,72613000
PLIN,2022-01-18,2000.00,2050,1995,2000,600,1209500
PLIN,2022-01-17,2080.00,2080,2000,2020,2200,4492000
PLIN,2022-01-14,2030.00,2090,2030,2050,600,1236000
PLIN,2022-01-13,2100.00,2110,2010,2050,27200,56570000
PLIN,2022-01-12,2010.00,2010,2010,2010,4800,9648000
PLIN,2022-01-11,2040.00,2070,2030,2070,1400,2851000
