id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PMJS,2022-01-31,131.00,133,129,131,344000,44632100
PMJS,2022-01-28,132.00,135,129,131,147100,19246500
PMJS,2022-01-27,130.00,137,128,132,677700,90237300
PMJS,2022-01-26,126.00,131,125,129,216600,27791500
PMJS,2022-01-25,126.00,129,125,127,423700,53477100
PMJS,2022-01-24,128.00,131,128,129,259300,33408600
PMJS,2022-01-21,131.00,133,128,130,379000,49264900
PMJS,2022-01-20,130.00,131,125,131,391500,50184000
PMJS,2022-01-19,129.00,135,122,130,1318700,169844400
PMJS,2022-01-18,130.00,134,128,130,556000,72623900
PMJS,2022-01-17,141.00,141,132,132,1587300,213062400
PMJS,2022-01-14,141.00,143,136,141,938200,131834300
PMJS,2022-01-13,144.00,144,139,142,133200,18848100
PMJS,2022-01-12,140.00,144,140,143,1125700,160725600
PMJS,2022-01-11,144.00,148,139,140,1616200,231227900
