id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PNGO,2022-01-31,1415.00,1420,1375,1420,2800,3950500
PNGO,2022-01-28,1400.00,1425,1355,1415,8500,11661500
PNGO,2022-01-27,1420.00,1425,1400,1400,8900,12600500
PNGO,2022-01-26,1465.00,1465,1365,1420,17000,24099000
PNGO,2022-01-25,1465.00,1470,1460,1465,5700,8341500
PNGO,2022-01-24,1465.00,1470,1460,1465,14300,20920000
PNGO,2022-01-21,1450.00,1510,1450,1460,2200,3205500
PNGO,2022-01-20,1545.00,1550,1445,1450,64800,94836000
PNGO,2022-01-19,1550.00,1565,1515,1550,14000,21415500
PNGO,2022-01-18,1460.00,1605,1460,1550,54100,81696500
PNGO,2022-01-17,1515.00,1515,1440,1500,15000,22284500
PNGO,2022-01-14,1600.00,1600,1485,1515,244800,365874500
PNGO,2022-01-13,1580.00,1600,1580,1595,1600,2536000
PNGO,2022-01-12,1595.00,1615,1575,1580,5100,8122000
PNGO,2022-01-11,1575.00,1595,1525,1595,11100,17327500
