id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
POLL,2022-01-31,925.00,925,865,865,109900,95149000
POLL,2022-01-28,980.00,980,930,930,150300,139849000
POLL,2022-01-27,1075.00,1115,995,995,2207800,2218911500
POLL,2022-01-26,1025.00,1170,1020,1065,4934700,5358543000
POLL,2022-01-25,880.00,1035,880,1015,11321200,11251450000
POLL,2022-01-24,705.00,830,705,830,11080300,8862950500
POLL,2022-01-21,520.00,665,505,665,6048700,3758991500
POLL,2022-01-20,575.00,615,535,535,10092200,5455581000
POLL,2022-01-19,615.00,685,575,575,16395000,10000205500
POLL,2022-01-18,625.00,660,615,615,3476100,2161484000
POLL,2022-01-17,695.00,695,660,660,7435700,4910110500
POLL,2022-01-14,755.00,755,705,705,1524200,1082838500
POLL,2022-01-13,810.00,830,755,755,7181000,5450553500
POLL,2022-01-12,870.00,945,810,810,4304100,3540539000
POLL,2022-01-11,920.00,930,865,870,433300,381211500
