id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PPGL,2022-01-31,122.00,124,120,121,890900,108156200
PPGL,2022-01-28,127.00,128,120,122,2109800,257970000
PPGL,2022-01-27,124.00,128,124,127,397300,50193800
PPGL,2022-01-26,126.00,128,124,124,765100,96026700
PPGL,2022-01-25,130.00,130,126,126,1386400,177093200
PPGL,2022-01-24,131.00,133,128,130,924600,120845100
PPGL,2022-01-21,127.00,131,125,131,1875500,240073300
PPGL,2022-01-20,123.00,126,123,126,1412600,176480700
PPGL,2022-01-19,122.00,124,120,123,966900,117726100
PPGL,2022-01-18,124.00,124,121,122,1337000,163089900
PPGL,2022-01-17,125.00,129,121,123,1950300,242200700
PPGL,2022-01-14,122.00,126,120,125,2301400,284190800
PPGL,2022-01-13,128.00,128,116,122,7259700,887889200
PPGL,2022-01-12,129.00,135,126,128,2916100,376743500
PPGL,2022-01-11,138.00,138,129,129,4477600,586994200
