id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PRDA,2022-01-03,9200.00,9300,8575,8600,1427900,12361820000
PRDA,2021-12-30,8650.00,9200,8575,9200,790700,7048872500
PRDA,2021-12-29,8700.00,8700,8100,8650,1902500,15986600000
PRDA,2021-12-28,8900.00,8900,8700,8700,530400,4654357500
PRDA,2021-12-27,9225.00,9225,8575,8900,1340200,11863567500
PRDA,2021-12-24,9250.00,9275,9200,9200,247500,2280957500
PRDA,2021-12-23,9350.00,9375,9200,9250,653200,6043727500
PRDA,2021-12-22,9475.00,9525,9250,9350,591900,5533362500
PRDA,2021-12-21,9400.00,9500,9300,9450,313400,2943852500
PRDA,2021-12-20,9350.00,9450,9100,9375,454100,4202045000
PRDA,2021-12-17,9700.00,9700,9325,9350,394800,3721725000
PRDA,2021-12-16,9325.00,9750,9200,9525,1239000,11766385000
PRDA,2021-12-15,9650.00,9750,9325,9325,691600,6495435000
PRDA,2021-12-14,9300.00,10000,9300,9575,2829000,27518877500
PRDA,2021-12-13,9075.00,9300,9050,9300,683000,6270787500
PRDA,2021-12-10,9200.00,9250,9025,9075,570100,5192295000
PRDA,2021-12-09,9275.00,9375,9150,9200,660700,6110857500
PRDA,2021-12-08,9000.00,9450,8875,9250,2629000,23924992500
PRDA,2021-12-07,9350.00,9350,9075,9200,1119500,10312682500
PRDA,2021-12-06,9525.00,9675,9200,9350,1179100,11062725000
PRDA,2021-12-03,8900.00,9700,8900,9525,2803000,26419360000
PRDA,2021-12-02,8700.00,9200,8625,9050,1963200,17469115000
PRDA,2021-12-01,8800.00,8875,8550,8700,1398000,12150925000
PRDA,2021-11-30,8225.00,9050,8175,8800,4827300,41458212500
PRDA,2021-11-29,8000.00,8250,7900,8175,3088700,24958225000
PRDA,2021-11-26,8300.00,8100,7750,7875,588200,4613935000
PRDA,2021-11-25,8300.00,8400,7775,8000,1915300,15291497500
PRDA,2021-11-24,8200.00,8625,8125,8300,1963200,16479027500
PRDA,2021-11-23,8775.00,8800,8200,8200,2222800,18531927500
PRDA,2021-11-22,8875.00,9000,8675,8800,1253200,11087300000
PRDA,2021-11-19,8600.00,8900,8400,8800,2439900,21212590000
PRDA,2021-11-18,7975.00,8625,7950,8625,3341900,28144980000
PRDA,2021-11-17,7650.00,8100,7650,7950,1990200,15797867500
PRDA,2021-11-16,7375.00,7700,7350,7650,1007000,7655592500
PRDA,2021-11-15,7325.00,7525,7300,7375,735000,5432302500
PRDA,2021-11-12,7200.00,7850,7200,7325,3322800,25048015000
PRDA,2021-11-11,7075.00,7175,7025,7125,298200,2123270000
PRDA,2021-11-10,7150.00,7150,6975,7075,388200,2730902500
PRDA,2021-11-09,7100.00,7275,7075,7100,721400,5155917500
PRDA,2021-11-08,6900.00,7400,6900,7100,1848300,13230977500
PRDA,2021-11-05,7150.00,7175,6700,6875,2371800,16335467500
PRDA,2021-11-04,7350.00,7400,6700,7150,5214500,36714677500
PRDA,2021-11-03,5975.00,7150,5975,7150,13802300,96918115000
PRDA,2021-11-02,6475.00,6475,5975,5975,3299400,20171960000
PRDA,2021-11-01,6175.00,6475,6150,6400,2078400,13260407500
PRDA,2021-10-29,6150.00,6275,6125,6125,1344500,8291380000
PRDA,2021-10-28,6200.00,6250,6100,6150,844200,5211825000
PRDA,2021-10-27,6225.00,6275,6175,6250,595300,3714770000
PRDA,2021-10-26,6375.00,6375,6125,6200,1293600,8050652500
PRDA,2021-10-25,6300.00,6475,6300,6375,253100,1616905000
PRDA,2021-10-22,6400.00,6400,6275,6300,368800,2325465000
PRDA,2021-10-21,6600.00,6600,6300,6400,967100,6212062500
PRDA,2021-10-19,6475.00,6650,6475,6475,521900,3416530000
PRDA,2021-10-18,6400.00,6500,6275,6475,875400,5582327500
PRDA,2021-10-15,6500,6500,6350,6375,553100,3546265000
PRDA,2021-10-14,6500,6575,6425,6475,719100,4669095000
PRDA,2021-10-13,6700,6700,6450,6500,722500,4723980000
PRDA,2021-10-12,6550,6675,6475,6650,340600,2238317500
PRDA,2021-10-11,6525,6750,6475,6550,717500,4749247500
PRDA,2021-10-08,6400,6700,6375,6525,880100,5760980000
PRDA,2021-10-07,6675,6675,6350,6400,1216700,7907560000
PRDA,2021-10-06,6800,6825,6575,6675,473300,3151272500
PRDA,2021-10-05,6825,6875,6525,6800,615300,4149962500
PRDA,2021-10-04,7000,7050,6800,6800,1266900,8682407500
PRDA,2021-10-01,7050,7100,6900,7000,507600,3556157500
PRDA,2021-09-30,7100,7175,7025,7100,520400,3693707500
PRDA,2021-09-29,7200,7275,6825,7075,1529500,10832095000
PRDA,2021-09-28,7250,7375,7075,7200,1313800,9412167500
PRDA,2021-09-27,7050,7450,7000,7250,1699600,12239802500
PRDA,2021-09-24,7200,7250,7050,7050,593900,4259665000
PRDA,2021-09-23,7125,7300,7100,7200,470100,3399390000
PRDA,2021-09-22,7250,7300,7050,7100,325200,2315177500
PRDA,2021-09-21,7150,7300,7075,7250,1017500,7356612500
PRDA,2021-09-20,7300,7350,7025,7150,671000,4794097500
PRDA,2021-09-17,7475,7650,7150,7450,2205400,16311582500
PRDA,2021-09-16,7500,7575,7325,7475,550100,4097342500
PRDA,2021-09-15,7425,7575,7400,7500,1445400,10828890000
PRDA,2021-09-14,7200,7475,7200,7425,2863100,21151487500
PRDA,2021-09-13,6775,7300,6700,7200,4068600,29153895000
PRDA,2021-09-10,6775,6925,6775,6775,1748400,11961245000
PRDA,2021-09-09,6600,6900,6575,6775,2276000,15395540000
PRDA,2021-09-08,6575,6725,6500,6575,1691100,11240732500
PRDA,2021-09-07,6200,6575,6200,6575,1979800,12782847500
PRDA,2021-09-06,6250,6400,6100,6200,3956600,24630875000
PRDA,2021-09-03,6700,6725,6250,6250,4260100,26794175000
PRDA,2021-09-02,7200,7200,6700,6700,3275500,22377912500
