id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PTDU,2022-01-03,191.00,199,189,190,46599600,8955099900
PTDU,2021-12-30,199.00,204,186,190,47053300,9284263400
PTDU,2021-12-29,198.00,206,193,199,59686300,11788222100
PTDU,2021-12-28,206.00,208,192,198,63472100,12897647300
PTDU,2021-12-27,212.00,212,200,206,97653300,20111827000
PTDU,2021-12-24,193.00,214,190,210,75440400,15300343200
PTDU,2021-12-23,194.00,199,189,193,39576500,7724965400
PTDU,2021-12-22,193.00,202,190,193,15155300,2969321000
PTDU,2021-12-21,198.00,198,186,193,20647700,3962393900
PTDU,2021-12-20,212.00,214,198,198,26021100,5271781900
PTDU,2021-12-17,195.00,216,190,212,36103200,7339982800
PTDU,2021-12-16,194.00,200,184,195,34194600,6593870200
PTDU,2021-12-15,210.00,236,194,194,85533000,18560990600
PTDU,2021-12-14,180.00,216,180,208,92961600,18874494200
PTDU,2021-12-13,172.00,184,172,178,25115400,4463428400
PTDU,2021-12-10,170.00,184,167,171,24535100,4241941800
PTDU,2021-12-09,169.00,174,167,169,15120800,2586526800
PTDU,2021-12-08,170.00,175,169,169,14031200,2406541800
PTDU,2021-12-07,172.00,174,167,169,11813400,2015322300
PTDU,2021-12-06,183.00,184,167,171,28059700,4951500800
PTDU,2021-12-03,173.00,192,171,177,28899600,5223663300
PTDU,2021-12-02,175.00,175,163,173,12690800,2128427000
PTDU,2021-12-01,189.00,191,175,175,8260000,1496420100
PTDU,2021-11-30,188.00,220,178,188,72052800,14718876300
PTDU,2021-11-29,163.00,218,159,188,113184900,22238545500
PTDU,2021-11-26,186.00,176,161,162,16427600,2723452900
PTDU,2021-11-25,186.00,191,173,173,19184900,3435312800
PTDU,2021-11-24,186.00,199,186,186,27717500,5226870600
PTDU,2021-11-23,210.00,214,200,200,4393100,878955400
PTDU,2021-11-22,240.00,264,214,214,65734700,15355358400
PTDU,2021-11-19,180.00,228,175,228,140941400,29864207300
PTDU,2021-11-18,172.00,175,165,170,15633400,2651710300
PTDU,2021-11-17,156.00,188,154,171,37282900,6325007900
PTDU,2021-11-16,155.00,160,150,156,12694100,1962634200
PTDU,2021-11-15,157.00,158,155,155,8039000,1256932600
PTDU,2021-11-12,157.00,158,156,157,7239800,1136668000
PTDU,2021-11-11,161.00,162,157,157,2863100,455727000
PTDU,2021-11-10,162.00,165,158,161,4259500,685101600
PTDU,2021-11-09,168.00,168,161,162,7721600,1276346700
PTDU,2021-11-08,174.00,174,167,167,36665600,6232853300
PTDU,2021-11-05,173.00,176,168,173,26660000,4612104900
PTDU,2021-11-04,175.00,177,171,173,35312600,6152444400
PTDU,2021-11-03,179.00,180,170,175,31207200,5525353100
PTDU,2021-11-02,178.00,187,174,178,43285500,7811884400
PTDU,2021-11-01,175.00,179,174,177,29666400,5243684100
PTDU,2021-10-29,176.00,179,174,175,12804400,2250512200
PTDU,2021-10-28,190.00,190,174,175,21707800,3945995400
PTDU,2021-10-27,193.00,197,187,187,34824600,6723923500
PTDU,2021-10-26,194.00,206,193,193,31159700,6169435900
PTDU,2021-10-25,198.00,199,192,194,8713400,1713117500
PTDU,2021-10-22,202.00,204,196,197,14514800,2884326800
