id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PTPW,2022-01-31,735.00,740,725,735,220100,161531000
PTPW,2022-01-28,740.00,740,725,730,261200,192140000
PTPW,2022-01-27,730.00,745,720,735,281100,206146000
PTPW,2022-01-26,710.00,740,710,735,434100,312802500
PTPW,2022-01-25,700.00,730,700,710,441300,313808000
PTPW,2022-01-24,700.00,700,695,695,133000,93064000
PTPW,2022-01-21,705.00,710,700,705,235200,165903000
PTPW,2022-01-20,700.00,715,695,710,256400,180412500
PTPW,2022-01-19,695.00,715,695,705,477600,336507500
PTPW,2022-01-18,705.00,720,700,700,372300,264477500
PTPW,2022-01-17,700.00,705,695,700,291000,204332000
PTPW,2022-01-14,700.00,715,700,705,252100,177601000
PTPW,2022-01-13,710.00,710,705,705,138300,98120000
PTPW,2022-01-12,705.00,710,695,705,214600,151047000
PTPW,2022-01-11,700.00,700,695,700,112800,78953500
