id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
PWON,2022-01-03,464.00,472,464,470,12392300,5817124400
PWON,2021-12-30,476.00,476,464,464,21211500,9920791800
PWON,2021-12-29,476.00,478,470,476,12518200,5923060800
PWON,2021-12-28,470.00,480,468,478,16230100,7724796800
PWON,2021-12-27,460.00,468,458,466,18170500,8440439800
PWON,2021-12-24,462.00,470,456,460,27926100,12884248400
PWON,2021-12-23,462.00,466,460,462,15539400,7183666200
PWON,2021-12-22,476.00,480,462,462,22850300,10700033800
PWON,2021-12-21,474.00,478,470,476,21772900,10331676800
PWON,2021-12-20,470.00,480,470,472,28906800,13711556800
PWON,2021-12-17,482.00,486,470,470,39389200,18650631600
PWON,2021-12-16,494.00,498,482,484,24612500,11995394800
PWON,2021-12-15,492.00,498,490,492,28297200,13970298000
PWON,2021-12-14,505.00,505,488,492,26023000,12854529600
PWON,2021-12-13,486.00,505,484,500,52543500,26071584300
PWON,2021-12-10,480.00,488,478,482,18000100,8687179000
PWON,2021-12-09,488.00,490,480,480,20918500,10133770800
PWON,2021-12-08,494.00,494,482,488,26031600,12662840200
PWON,2021-12-07,482.00,494,480,486,27963800,13616421200
PWON,2021-12-06,484.00,486,476,476,35479500,16993535000
PWON,2021-12-03,478.00,488,472,482,42993100,20700527600
PWON,2021-12-02,478.00,482,468,474,61100500,28934230800
PWON,2021-12-01,492.00,496,470,478,57541800,27676910400
PWON,2021-11-30,505.00,505,492,492,56102900,27854341400
PWON,2021-11-29,500.00,505,488,496,55909800,27772404600
PWON,2021-11-26,525.00,525,500,500,67598000,34205018500
PWON,2021-11-25,525.00,530,510,520,33270600,17282735500
PWON,2021-11-24,535.00,540,515,525,53142900,27823674000
PWON,2021-11-23,540.00,540,525,535,36170100,19263220000
PWON,2021-11-22,555.00,560,530,540,36155100,19772019000
PWON,2021-11-19,550.00,560,550,555,36278900,20088053000
PWON,2021-11-18,560.00,560,545,550,28352600,15592713000
PWON,2021-11-17,545.00,560,540,560,45850800,25299222000
PWON,2021-11-16,545.00,550,535,540,43307000,23477065500
PWON,2021-11-15,535.00,550,535,545,53046900,28728170000
PWON,2021-11-12,530.00,540,525,535,43497600,23217586000
PWON,2021-11-11,520.00,530,520,530,26124600,13776809000
PWON,2021-11-10,525.00,530,515,520,24649500,12855346500
PWON,2021-11-09,525.00,530,520,525,26095500,13704930500
PWON,2021-11-08,520.00,530,515,525,48600600,25363338500
PWON,2021-11-05,525.00,525,510,515,30119200,15615660500
PWON,2021-11-04,520.00,530,515,520,28743900,14998226000
PWON,2021-11-03,510.00,525,505,515,52800600,27358854000
PWON,2021-11-02,515.00,520,505,505,21872200,11200478500
PWON,2021-11-01,500.00,525,500,510,70300600,36248151500
PWON,2021-10-29,492.00,505,490,500,45373300,22617339300
PWON,2021-10-28,500.00,510,482,488,90838300,44731490000
PWON,2021-10-27,520.00,520,505,510,20443200,10439142500
PWON,2021-10-26,520.00,525,515,515,13701800,7080117500
PWON,2021-10-25,525.00,530,515,515,15120000,7885576000
PWON,2021-10-22,515.00,525,515,525,35296200,18407408000
PWON,2021-10-21,525.00,540,520,520,66727700,35180518500
PWON,2021-10-19,525.00,530,515,525,34103900,17710118500
PWON,2021-10-18,530.00,540,520,525,90637400,47771420500
PWON,2021-10-15,535,545,525,530,63009200,33435269000
PWON,2021-10-14,520,545,515,535,114949800,61053228000
PWON,2021-10-13,520,525,505,520,91783000,47290486500
PWON,2021-10-12,515,525,500,520,112032300,57624411000
PWON,2021-10-11,525,525,510,515,73352400,37881546500
PWON,2021-10-08,520,525,515,525,38904900,20342953000
PWON,2021-10-07,525,530,505,520,67862000,34975667500
PWON,2021-10-06,530,535,520,530,96084700,50627906500
PWON,2021-10-05,530,535,515,525,62294100,32462880000
PWON,2021-10-04,488,535,488,530,169118200,87582282000
PWON,2021-10-01,478,492,476,488,64120700,31230303000
PWON,2021-09-30,478,486,474,484,15159300,7329011800
