id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
RICY,2022-01-31,78.00,82,76,76,11117900,879080600
RICY,2022-01-28,80.00,80,75,78,8127200,624593800
RICY,2022-01-27,80.00,85,80,80,7595800,608099700
RICY,2022-01-26,93.00,98,86,86,178168200,16581643900
RICY,2022-01-25,94.00,97,92,92,39747000,3798231700
RICY,2022-01-24,92.00,94,91,93,3989100,368126900
RICY,2022-01-21,90.00,91,89,91,9201800,825395300
RICY,2022-01-20,88.00,89,88,89,1453600,128556600
RICY,2022-01-19,91.00,95,88,88,21774200,1993788500
RICY,2022-01-18,90.00,90,89,90,3581800,320590200
RICY,2022-01-17,90.00,91,88,90,4878700,435037700
RICY,2022-01-14,95.00,101,89,90,116069000,11234176100
RICY,2022-01-13,91.00,96,91,95,19375100,1807185900
RICY,2022-01-12,93.00,94,90,91,3930600,361652100
RICY,2022-01-11,102.00,106,95,95,34806200,3514036900
