id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
RMKE,2022-01-31,386.00,390,372,388,12482000,4730976400
RMKE,2022-01-28,398.00,404,380,382,23763200,9304793600
RMKE,2022-01-27,412.00,428,388,394,49622700,20029496600
RMKE,2022-01-26,396.00,420,366,412,128543000,51248196400
RMKE,2022-01-25,330.00,408,328,390,121435100,45968074200
RMKE,2022-01-24,330.00,338,324,328,8452200,2780218000
RMKE,2022-01-21,328.00,342,326,326,7038700,2334053200
RMKE,2022-01-20,346.00,356,324,332,22930500,7839462200
RMKE,2022-01-19,334.00,354,334,344,27182100,9333857000
RMKE,2022-01-18,326.00,336,318,334,17336500,5685919000
RMKE,2022-01-17,340.00,368,320,326,98183900,33908563400
RMKE,2022-01-14,300.00,348,282,336,127635800,41485310400
RMKE,2022-01-13,324.00,328,300,300,33819800,10314636600
RMKE,2022-01-12,330.00,342,290,322,106553800,34343734800
RMKE,2022-01-11,242.00,300,242,300,78643700,21731262000
