id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SAME,2022-01-03,370.00,378,358,374,15871300,5829728600
SAME,2021-12-30,368.00,380,368,370,19600300,7331385800
SAME,2021-12-29,364.00,376,356,368,33095700,12067489000
SAME,2021-12-28,390.00,396,364,364,60923300,22744732200
SAME,2021-12-27,396.00,396,386,390,13860100,5402091200
SAME,2021-12-24,408.00,410,394,396,21229500,8476814400
SAME,2021-12-23,406.00,414,400,406,14805500,6025230400
SAME,2021-12-22,416.00,420,404,406,12296900,5055861800
SAME,2021-12-21,426.00,428,406,414,15293300,6348956200
SAME,2021-12-20,434.00,440,420,426,16396900,7020175600
SAME,2021-12-17,442.00,450,432,432,20413900,8927728200
SAME,2021-12-16,418.00,446,414,442,59028200,25741126800
SAME,2021-12-15,424.00,430,414,416,13925400,5854156400
SAME,2021-12-14,436.00,444,422,424,56649000,24738755000
SAME,2021-12-13,444.00,446,432,436,47319700,20780881600
SAME,2021-12-10,446.00,452,438,440,30108500,13363520200
SAME,2021-12-09,412.00,464,412,444,111177100,49294457000
SAME,2021-12-08,408.00,428,408,410,58072100,24159848400
SAME,2021-12-07,396.00,414,382,408,59094900,23349487800
SAME,2021-12-06,420.00,426,396,396,81803900,32898403000
SAME,2021-12-03,406.00,424,404,420,29377500,12281612600
SAME,2021-12-02,410.00,412,382,406,61419500,24260030000
SAME,2021-12-01,416.00,418,402,410,36045900,14745277600
SAME,2021-11-30,422.00,428,396,410,82343400,33558222000
SAME,2021-11-29,408.00,428,404,422,29804000,12521515400
SAME,2021-11-26,420.00,420,406,406,26575700,10937553600
SAME,2021-11-25,420.00,424,410,414,19141300,7907498000
SAME,2021-11-24,422.00,428,416,420,7982800,3350907800
SAME,2021-11-23,430.00,432,416,422,11892400,5025283600
SAME,2021-11-22,436.00,440,430,430,12982100,5604277000
SAME,2021-11-19,430.00,442,424,436,29577500,12792218600
SAME,2021-11-18,404.00,430,404,428,72631900,30254433400
SAME,2021-11-17,420.00,420,404,404,47932900,19707272600
SAME,2021-11-16,422.00,430,408,420,35011100,14638061800
SAME,2021-11-15,452.00,454,422,422,64077000,27822748200
SAME,2021-11-12,454.00,464,448,450,16716300,7543858200
SAME,2021-11-11,454.00,464,452,454,22599700,10301469800
SAME,2021-11-10,448.00,456,448,450,21166400,9558783800
SAME,2021-11-09,448.00,458,444,446,39796200,17933241200
SAME,2021-11-08,452.00,454,446,446,12817100,5733335800
SAME,2021-11-05,450.00,456,446,452,9699900,4374063800
SAME,2021-11-04,448.00,458,448,450,14577800,6579977000
SAME,2021-11-03,450.00,462,444,448,34706300,15651840200
SAME,2021-11-02,478.00,482,446,450,50939200,23308227400
SAME,2021-11-01,490.00,492,478,478,20052500,9660721800
SAME,2021-10-29,482.00,494,482,488,24761800,12093008800
SAME,2021-10-28,494.00,505,476,480,37110800,17995055200
SAME,2021-10-27,500.00,525,492,494,57109900,28711567200
SAME,2021-10-26,505.00,510,490,500,52720400,26268406300
SAME,2021-10-25,478.00,510,478,500,82551200,41171299400
SAME,2021-10-22,482.00,488,474,476,18883200,9049363400
SAME,2021-10-21,492.00,492,470,480,46453100,22216897200
SAME,2021-10-19,462.00,496,460,488,132695500,64288888600
SAME,2021-10-18,450.00,466,448,460,21252500,9725169600
SAME,2021-10-15,450,456,446,450,22702900,10215605000
SAME,2021-10-14,458,458,444,448,38912500,17541302800
SAME,2021-10-13,470,472,454,458,29176200,13447475800
SAME,2021-10-12,448,472,442,468,76477600,35342797200
SAME,2021-10-11,460,460,444,448,44619500,19974711800
SAME,2021-10-08,450,464,450,454,19892400,9030254800
SAME,2021-10-07,464,474,454,456,19948100,9231831400
SAME,2021-10-06,444,464,442,462,46645600,21234652400
SAME,2021-10-05,468,470,438,444,73006000,32865883200
SAME,2021-10-04,470,474,458,470,35753700,16699103200
SAME,2021-10-01,478,478,464,470,35857500,16784623800
SAME,2021-09-30,474,494,470,476,44719900,21534696200
SAME,2021-09-29,490,490,456,472,83812600,39263478800
SAME,2021-09-28,520,520,488,490,61989400,30674575200
SAME,2021-09-27,515,525,510,515,13587000,7021285500
SAME,2021-09-24,520,525,510,515,62763700,32355787000
SAME,2021-09-23,520,530,520,520,9462900,4946767500
SAME,2021-09-22,520,535,515,520,18574300,9727216500
SAME,2021-09-21,530,530,500,520,25521400,13164251000
SAME,2021-09-20,545,545,520,530,28570400,15239559000
SAME,2021-09-17,545,550,530,535,21098400,11372315500
SAME,2021-09-16,545,560,535,540,20291200,11017575000
SAME,2021-09-15,535,555,535,550,20368600,11096180500
SAME,2021-09-14,545,550,530,535,24271000,13103235500
SAME,2021-09-13,545,550,530,540,16134400,8702685500
SAME,2021-09-10,535,550,525,545,23516400,12670307500
SAME,2021-09-09,590,605,535,535,121972200,67452270500
SAME,2021-09-08,615,615,570,575,74791200,43930421000
SAME,2021-09-07,555,610,555,610,165926400,97962359000
SAME,2021-09-06,545,560,530,555,32074100,17524754000
SAME,2021-09-03,535,545,520,540,22280600,11853503000
SAME,2021-09-02,535,550,530,535,23253600,12474636500
SAME,2021-09-01,580,585,535,535,79459300,44263365500
SAME,2021-08-31,540,580,535,575,131375900,73779921500
SAME,2021-08-30,520,540,492,535,66330700,33916307600
SAME,2021-08-27,520,525,505,510,20300400,10387971500
SAME,2021-08-26,525,530,510,520,22394600,11651510000
SAME,2021-08-25,550,555,525,525,35442600,18870521000
SAME,2021-08-24,555,570,545,550,24139700,13372223500
SAME,2021-08-23,530,565,525,560,49389700,27038990500
SAME,2021-08-20,480,535,480,525,97987800,49851675200
SAME,2021-08-19,515,560,515,515,222726000,117481726000
SAME,2021-08-18,570,580,550,550,21542400,11940670500
SAME,2021-08-16,620,635,590,590,60461100,36015049000
SAME,2021-08-13,660,670,625,630,45251000,28927216000
SAME,2021-08-12,630,680,630,655,112904900,74604975000
