id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SGER,2022-01-31,1650.00,1660,1575,1575,336900,535458500
SGER,2022-01-28,1820.00,1885,1690,1690,15260000,27189586500
SGER,2022-01-27,1770.00,1860,1740,1815,20157100,36529044500
SGER,2022-01-26,1835.00,1885,1735,1770,28834500,52552034500
SGER,2022-01-25,1705.00,1850,1585,1830,26805900,46385263500
SGER,2022-01-24,1600.00,1735,1580,1700,20468900,34388663500
SGER,2022-01-21,1525.00,1640,1520,1595,40806600,64632721000
SGER,2022-01-20,1320.00,1515,1320,1515,32919600,47595433000
SGER,2022-01-19,1380.00,1400,1275,1320,11385200,15285621500
SGER,2022-01-18,1260.00,1355,1245,1355,23946200,31158894500
SGER,2022-01-17,1100.00,1240,1075,1240,10967400,12950476500
SGER,2022-01-14,1140.00,1145,1090,1095,2440600,2731874500
SGER,2022-01-13,1090.00,1140,1080,1120,4151900,4646262500
SGER,2022-01-12,995.00,1080,980,1080,5622400,5808886500
SGER,2022-01-11,955.00,1005,930,990,4003500,3932281000
