id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SHIP,2022-01-31,965.00,965,940,945,57500,54345000
SHIP,2022-01-28,990.00,990,910,965,81100,76630500
SHIP,2022-01-27,1000.00,1000,960,970,198600,192666000
SHIP,2022-01-26,905.00,1020,880,1000,429100,408784000
SHIP,2022-01-25,890.00,905,875,905,161500,143748000
SHIP,2022-01-24,855.00,890,855,890,60600,53284500
SHIP,2022-01-21,855.00,865,840,855,78000,66583500
SHIP,2022-01-20,840.00,865,810,850,68200,57199500
SHIP,2022-01-19,850.00,865,830,835,70500,59536000
SHIP,2022-01-18,880.00,880,845,850,145300,125122000
SHIP,2022-01-17,875.00,885,860,880,169900,148400000
SHIP,2022-01-14,885.00,885,840,865,162400,138715500
SHIP,2022-01-13,885.00,900,860,875,91400,80122000
SHIP,2022-01-12,870.00,885,865,880,144500,126549000
SHIP,2022-01-11,900.00,900,840,865,379800,330600000
