id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SILO,2022-01-03,8775.00,8775,8525,8625,268100,2310522500
SILO,2021-12-30,8375.00,8625,8350,8575,1062500,8916717500
SILO,2021-12-29,8250.00,8525,8225,8350,226400,1888862500
SILO,2021-12-28,8200.00,8275,8175,8225,74800,615915000
SILO,2021-12-27,8275.00,8300,8100,8125,158700,1299120000
SILO,2021-12-24,8225.00,8450,8100,8250,103800,865415000
SILO,2021-12-23,8425.00,8425,8125,8200,553900,4551230000
SILO,2021-12-22,8600.00,8600,8400,8425,176000,1492855000
SILO,2021-12-21,8475.00,8650,8475,8550,182600,1563877500
SILO,2021-12-20,8650.00,8650,8325,8425,141800,1197735000
SILO,2021-12-17,8850.00,9000,8600,8650,358700,3131722500
SILO,2021-12-16,8250.00,8900,8150,8800,1330000,11424355000
SILO,2021-12-15,8000.00,8325,8000,8250,756000,6174037500
SILO,2021-12-14,8425.00,8475,7900,8000,1063300,8583240000
SILO,2021-12-13,8350.00,8500,8300,8400,344100,2889640000
SILO,2021-12-10,8300.00,8475,8250,8325,467600,3898820000
SILO,2021-12-09,8450.00,8600,8325,8325,303500,2557342500
SILO,2021-12-08,8800.00,8800,8400,8450,408200,3496822500
SILO,2021-12-07,8850.00,8850,8550,8800,272800,2390987500
SILO,2021-12-06,9075.00,9150,8650,8850,708200,6262625000
SILO,2021-12-03,9000.00,9150,8900,9075,178800,1620325000
SILO,2021-12-02,9450.00,9625,8900,8950,346700,3166450000
SILO,2021-12-01,9625.00,9625,9025,9375,987300,9181042500
SILO,2021-11-30,10400.00,10525,9700,9700,4121200,40156027500
SILO,2021-11-29,10850.00,11300,10375,10400,1792900,19405160000
SILO,2021-11-26,9200.00,11025,9725,10850,1800200,19295157500
SILO,2021-11-25,9200.00,9775,9150,9750,1236000,11719725000
SILO,2021-11-24,9200.00,9425,9050,9200,689000,6337872500
SILO,2021-11-23,9275.00,9275,9075,9200,600700,5512282500
SILO,2021-11-22,9325.00,9475,9175,9225,412200,3862547500
SILO,2021-11-19,9125.00,9400,9100,9325,923200,8526847500
SILO,2021-11-18,9225.00,9375,9025,9125,790400,7291222500
SILO,2021-11-17,9125.00,9350,9075,9250,1074800,9929360000
SILO,2021-11-16,9200.00,9500,9000,9100,734000,6783757500
SILO,2021-11-15,8625.00,9250,8625,9200,883200,8003960000
SILO,2021-11-12,8600.00,8900,8500,8600,1787600,15435750000
