id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SINI,2022-01-03,336.00,336,314,314,30400,9666600
SINI,2021-12-30,390.00,406,330,336,2592500,1004540400
SINI,2021-12-29,282.00,326,260,326,697600,216362600
SINI,2021-12-28,274.00,278,262,262,12100,3257200
SINI,2021-12-27,284.00,284,248,254,17700,4482600
SINI,2021-12-24,298.00,298,262,264,18800,4984600
SINI,2021-12-17,290.00,290,256,256,10800,3028600
SINI,2021-12-16,298.00,298,268,270,11300,3055000
SINI,2021-12-15,292.00,292,268,278,10200,2864000
SINI,2021-12-14,292.00,292,272,272,31700,8661000
SINI,2021-12-13,282.00,282,262,272,23200,6159800
SINI,2021-12-10,258.00,270,256,262,33800,8788200
SINI,2021-12-09,292.00,292,258,272,41800,10985800
SINI,2021-12-08,310.00,310,270,272,14900,4085400
SINI,2021-12-06,278.00,298,278,298,25400,7071200
SINI,2021-12-02,292.00,300,270,298,16800,4683400
SINI,2021-12-01,312.00,312,272,272,24700,7278800
SINI,2021-11-30,310.00,310,290,292,13400,3894200
SINI,2021-11-26,300.00,296,282,290,16200,4574600
SINI,2021-11-24,286.00,286,266,280,10700,2935000
SINI,2021-11-23,300.00,300,266,266,29300,8085600
SINI,2021-11-22,304.00,304,268,286,33400,9417000
SINI,2021-11-19,300.00,300,278,284,17100,4804400
SINI,2021-11-18,300.00,300,278,280,19000,5331800
SINI,2021-11-17,318.00,318,278,280,15000,4284000
SINI,2021-11-16,298.00,298,282,298,43700,12796800
SINI,2021-11-15,314.00,314,278,278,13400,3874800
SINI,2021-11-12,282.00,298,280,294,22300,6519800
SINI,2021-11-11,298.00,298,278,282,11300,3270400
SINI,2021-11-08,350.00,350,282,292,12300,3567800
SINI,2021-11-05,314.00,314,282,282,23800,6851000
SINI,2021-11-04,304.00,304,274,294,64400,18432400
SINI,2021-11-03,304.00,304,284,284,35800,10277200
SINI,2021-11-02,300.00,300,266,284,20800,5774000
SINI,2021-11-01,344.00,344,266,280,43100,11714400
SINI,2021-10-29,334.00,334,270,276,225100,66550600
SINI,2021-10-28,300.00,310,262,268,536300,155552400
SINI,2021-10-27,294.00,294,264,280,18800,5248200
SINI,2021-10-26,296.00,296,272,274,11900,3360200
SINI,2021-10-12,280,280,260,260,17800,4710800
SINI,2021-10-08,296,296,262,274,11200,2965400
SINI,2021-10-06,288,288,264,278,10400,2859400
SINI,2021-10-04,290,290,268,280,15200,4109600
SINI,2021-10-01,302,302,270,270,39200,10588400
SINI,2021-09-24,298,298,274,278,100900,28051000
SINI,2021-09-15,290,290,262,274,17100,4574200
SINI,2021-09-13,292,296,260,274,29800,8329800
SINI,2021-09-09,288,288,278,278,21400,6042000
SINI,2021-09-07,288,288,268,268,15900,4386400
SINI,2021-09-06,276,276,256,268,16000,4148200
SINI,2021-09-03,282,282,256,256,39800,10203000
SINI,2021-09-01,284,284,260,260,14000,3661200
SINI,2021-08-30,282,282,272,272,18100,4942000
SINI,2021-08-27,282,282,260,262,43200,11235400
SINI,2021-08-26,272,272,250,262,19900,5071800
SINI,2021-08-25,290,290,252,252,18500,4728200
SINI,2021-08-24,280,280,250,270,34000,8954200
SINI,2021-08-19,284,284,250,260,82900,20780400
SINI,2021-08-18,262,264,250,264,15600,3911800
SINI,2021-08-13,284,284,260,268,10800,2891800
