id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SMAR,2022-01-31,4400.00,4690,4380,4540,10600,47217000
SMAR,2022-01-28,4500.00,4500,4390,4390,9800,43141000
SMAR,2022-01-27,4440.00,4450,4410,4450,6900,30617000
SMAR,2022-01-26,4440.00,4500,4420,4440,6100,27102000
SMAR,2022-01-25,4490.00,4490,4380,4420,3100,13681000
SMAR,2022-01-24,4680.00,4680,4350,4490,31400,141341000
SMAR,2022-01-21,4370.00,4750,4370,4660,14000,63064000
SMAR,2022-01-20,4310.00,4330,4310,4330,1400,6052000
SMAR,2022-01-19,4320.00,4360,4320,4360,2700,11695000
SMAR,2022-01-18,4330.00,4340,4330,4330,4700,20366000
SMAR,2022-01-17,4350.00,4350,4340,4340,2100,9124000
SMAR,2022-01-14,4330.00,4340,4300,4340,5000,21638000
SMAR,2022-01-13,4360.00,4390,4340,4340,24100,104892000
SMAR,2022-01-12,4350.00,4450,4350,4360,4700,20487000
SMAR,2022-01-11,4380.00,4440,4350,4350,12600,54889000
