id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SOFA,2022-01-03,46.00,46,45,46,1657900,74643000
SOFA,2021-12-30,46.00,49,44,46,47802300,2254236000
SOFA,2021-12-29,46.00,47,46,46,808700,37233900
SOFA,2021-12-28,47.00,48,46,46,1477100,68377300
SOFA,2021-12-27,48.00,48,46,47,1177900,55333200
SOFA,2021-12-24,47.00,48,46,48,18979000,901093300
SOFA,2021-12-23,47.00,47,46,47,1145800,52976500
SOFA,2021-12-22,48.00,49,46,47,1306600,61351400
SOFA,2021-12-21,50.00,53,46,47,43798300,2184814300
SOFA,2021-12-20,47.00,50,45,50,16589300,822702100
SOFA,2021-12-17,46.00,47,45,46,1357100,61906000
SOFA,2021-12-16,46.00,49,46,46,1847300,85832200
SOFA,2021-12-15,48.00,48,46,46,754200,35399600
SOFA,2021-12-14,48.00,49,47,48,596100,28186700
SOFA,2021-12-13,48.00,49,48,48,760300,36512100
SOFA,2021-12-10,49.00,49,47,48,6605100,317974200
SOFA,2021-12-09,47.00,50,47,49,4774000,231961700
SOFA,2021-12-08,43.00,47,43,47,9699800,446916800
SOFA,2021-12-07,45.00,46,43,43,3985600,174514000
SOFA,2021-12-06,46.00,46,45,45,1053200,47402400
SOFA,2021-12-03,46.00,47,45,46,1504500,68197100
SOFA,2021-12-02,46.00,47,45,46,908600,41532500
SOFA,2021-12-01,47.00,47,45,46,2006900,92254000
SOFA,2021-11-30,47.00,48,45,47,7106900,326145000
SOFA,2021-11-29,46.00,48,44,47,8792700,402648100
SOFA,2021-11-26,50.00,50,45,46,21082100,979219500
SOFA,2021-11-25,50.00,51,48,49,10689400,529375900
SOFA,2021-11-24,49.00,51,48,50,7011300,342953700
SOFA,2021-11-23,50.00,50,48,49,3366900,164311400
SOFA,2021-11-22,51.00,51,49,49,5116600,252661100
SOFA,2021-11-19,51.00,52,50,51,6593900,334808800
SOFA,2021-11-18,49.00,53,49,51,18920100,967879300
SOFA,2021-11-17,49.00,50,48,49,7760200,382381400
SOFA,2021-11-16,50.00,51,49,49,3535000,174912000
SOFA,2021-11-15,51.00,51,48,50,7962600,395039700
SOFA,2021-11-12,51.00,52,50,51,4407200,223278200
SOFA,2021-11-11,51.00,52,50,51,6387900,322515900
SOFA,2021-11-10,51.00,52,50,51,3001700,152397700
SOFA,2021-11-09,51.00,52,50,51,4835000,244333800
SOFA,2021-11-08,52.00,52,50,51,7473800,378345700
SOFA,2021-11-05,53.00,53,51,52,1629600,83754700
SOFA,2021-11-04,57.00,57,51,52,7414100,386193200
SOFA,2021-11-03,53.00,54,51,52,8230400,426083700
SOFA,2021-11-02,51.00,54,50,53,13601000,703744600
SOFA,2021-11-01,53.00,53,50,51,18127500,923778400
SOFA,2021-10-29,54.00,55,53,53,7366600,393559500
SOFA,2021-10-28,54.00,57,52,54,21288100,1159251400
SOFA,2021-10-27,56.00,57,54,54,13236600,722362300
SOFA,2021-10-26,57.00,59,53,56,24941700,1394744300
SOFA,2021-10-25,58.00,61,56,56,25526100,1470759300
SOFA,2021-10-22,62.00,67,58,58,112059100,7050122400
SOFA,2021-10-21,54.00,61,51,61,94767300,5358984500
SOFA,2021-10-19,64.00,68,56,56,75871900,4514980800
SOFA,2021-10-18,58.00,62,58,62,22395800,1379026900
SOFA,2021-10-15,54,57,52,57,45467800,2557803600
SOFA,2021-10-14,48,52,44,52,55364900,2774697600
SOFA,2021-10-13,50,50,48,48,16443900,801636100
SOFA,2021-10-12,50,55,48,48,69852000,3561938700
SOFA,2021-10-11,47,50,46,50,31791900,1529442800
SOFA,2021-10-08,43,47,43,47,38148600,1750499000
SOFA,2021-10-07,46,46,43,44,11282700,499089600
SOFA,2021-10-06,45,46,43,45,25496400,1129023800
SOFA,2021-10-05,42,45,42,45,46690300,2030445700
SOFA,2021-10-04,41,45,40,42,208861900,8873058300
SOFA,2021-10-01,38,41,37,41,73090200,2935183100
SOFA,2021-09-30,38,39,38,38,7175400,273549200
SOFA,2021-09-29,39,39,37,38,33727600,1284755800
SOFA,2021-09-28,38,40,37,39,20355000,785238600
SOFA,2021-09-27,38,39,37,38,10755400,408954400
SOFA,2021-09-24,39,40,38,38,9376600,358674200
SOFA,2021-09-23,39,40,38,39,30078600,1177111000
SOFA,2021-09-22,37,39,36,39,18667400,708009800
SOFA,2021-09-21,37,37,36,37,11430600,418828600
SOFA,2021-09-20,38,39,36,37,28748800,1070743200
SOFA,2021-09-17,40,40,38,38,27472300,1061695900
SOFA,2021-09-16,43,46,38,39,289149000,11335327000
SOFA,2021-09-15,42,42,38,42,28058700,1112309600
SOFA,2021-09-14,49,49,41,41,86219300,3598881000
SOFA,2021-09-13,45,50,45,45,74696100,3422465500
SOFA,2021-09-10,50,58,50,50,59290800,2978948300
SOFA,2021-09-09,55,55,55,55,36620900,2014149500
SOFA,2021-09-08,62,62,61,61,41638100,2540532000
SOFA,2021-09-07,67,68,67,67,36788800,2464970100
SOFA,2021-09-06,74,81,74,74,117943400,8807027700
SOFA,2021-09-03,85,85,82,82,17641700,1446625400
SOFA,2021-09-02,94,94,91,91,31102200,2830868900
SOFA,2021-09-01,112,123,101,101,92795900,9963692400
SOFA,2021-08-31,109,131,109,112,92513700,10483628200
SOFA,2021-08-30,121,121,121,121,8956500,1083736500
SOFA,2021-08-27,134,134,134,134,7191500,963661000
SOFA,2021-08-26,148,148,148,148,7559900,1118865200
SOFA,2021-08-25,168,168,164,164,11743800,1925985200
SOFA,2021-08-24,182,182,182,182,12867400,2341866800
SOFA,2021-08-23,202,202,202,202,4970700,1004081400
SOFA,2021-08-20,224,224,224,224,11300,2531200
SOFA,2021-08-19,248,248,248,248,3540800,878118400
SOFA,2021-08-18,274,274,274,274,11367300,3114640200
SOFA,2021-08-16,338,340,304,304,25176100,7824256200
SOFA,2021-08-13,322,342,322,336,8164000,2715774400
SOFA,2021-08-12,322,326,320,322,3989100,1287614200
