id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SOTS,2021-12-28,278.00,286,262,262,36200,9791000
SOTS,2021-12-24,292.00,292,264,278,13100,3493800
SOTS,2021-12-23,300.00,300,264,272,24800,6697600
SOTS,2021-12-22,290.00,290,266,280,42200,11419400
SOTS,2021-12-20,298.00,298,262,270,1804300,483557600
SOTS,2021-12-13,286.00,286,260,274,13500,3680800
SOTS,2021-12-10,282.00,286,266,266,15400,4205400
SOTS,2021-12-03,304.00,304,266,266,18100,4834600
SOTS,2021-12-01,300.00,300,266,266,13400,3620200
SOTS,2021-11-30,286.00,286,260,280,12000,3280600
SOTS,2021-11-29,300.00,300,266,266,35300,9709000
SOTS,2021-11-19,288.00,288,270,280,27100,7586200
SOTS,2021-11-18,300.00,300,268,268,15300,4154600
SOTS,2021-11-17,308.00,308,272,280,16200,4553200
SOTS,2021-11-16,304.00,304,282,288,10100,2882000
SOTS,2021-11-15,320.00,320,282,284,30900,8957000
SOTS,2021-11-11,314.00,314,286,290,180700,53785800
SOTS,2021-11-10,300.00,300,284,294,13000,3813400
SOTS,2021-11-09,312.00,312,288,302,15600,4570000
SOTS,2021-11-08,328.00,328,290,292,23400,6840600
SOTS,2021-11-05,310.00,310,286,308,16700,4982000
SOTS,2021-11-04,316.00,316,282,290,50700,15039200
SOTS,2021-11-03,330.00,330,292,296,710300,213115000
SOTS,2021-11-02,332.00,332,294,310,11200,3391600
SOTS,2021-11-01,316.00,316,296,312,22100,6597000
SOTS,2021-10-27,344.00,344,302,302,13200,4043400
SOTS,2021-10-26,336.00,336,296,324,27900,8782200
SOTS,2021-10-25,326.00,326,288,316,22200,6799000
SOTS,2021-10-22,330.00,330,290,306,18500,5479800
SOTS,2021-10-21,352.00,352,310,310,29300,9113400
SOTS,2021-10-18,338.00,338,320,330,14100,4693600
SOTS,2021-10-15,360,360,318,318,58700,18817400
SOTS,2021-10-14,368,368,324,340,29700,9941400
SOTS,2021-10-13,372,372,328,348,26000,8593000
SOTS,2021-10-12,378,378,334,352,20900,7113000
SOTS,2021-10-11,364,364,324,358,14800,4913600
SOTS,2021-10-08,388,388,344,344,36600,12708200
SOTS,2021-10-07,420,420,368,368,14200,5364800
SOTS,2021-10-06,446,446,378,394,14600,5752600
SOTS,2021-10-05,450,450,400,406,29800,11985200
SOTS,2021-10-04,482,482,430,430,20400,8780400
SOTS,2021-09-30,484,484,432,462,14600,6367600
SOTS,2021-09-15,490,490,442,472,12000,5426000
SOTS,2021-09-14,490,490,458,470,68100,31873800
SOTS,2021-09-09,450,458,448,458,21700,9726400
SOTS,2021-09-02,446,472,446,472,17800,7971600
SOTS,2021-08-30,476,476,462,472,308400,144384600
SOTS,2021-08-27,488,488,460,476,676000,326721800
SOTS,2021-08-26,492,492,486,488,461400,225552400
SOTS,2021-08-25,490,492,488,492,582100,285968200
SOTS,2021-08-24,490,490,486,490,207900,101455000
SOTS,2021-08-23,488,490,486,490,46800,22792600
SOTS,2021-08-20,492,492,488,490,179300,88068600
SOTS,2021-08-19,492,492,490,490,67400,33101600
SOTS,2021-08-18,492,498,490,498,742400,366561800
SOTS,2021-08-16,496,496,492,494,299700,148003400
SOTS,2021-08-13,500,500,494,496,467300,232480200
SOTS,2021-08-12,505,505,498,505,550300,276325600
