id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SRSN,2022-01-31,62.00,63,58,60,38923500,2336145000
SRSN,2022-01-28,67.00,67,62,62,63002200,3960968300
SRSN,2022-01-27,62.00,76,62,66,379066700,26711033100
SRSN,2022-01-26,64.00,66,62,62,31561900,2017672900
SRSN,2022-01-25,68.00,69,64,64,38714100,2529053500
SRSN,2022-01-24,71.00,72,67,68,47975000,3318179000
SRSN,2022-01-21,74.00,78,69,70,100057900,7289745400
SRSN,2022-01-20,79.00,88,72,74,921167800,73026760800
SRSN,2022-01-19,78.00,84,67,69,635614100,47974330000
SRSN,2022-01-18,54.00,72,54,72,326635200,22333669400
SRSN,2022-01-17,55.00,56,54,54,8607800,470791800
SRSN,2022-01-14,56.00,58,55,55,11944700,668888100
SRSN,2022-01-13,59.00,60,55,56,17787400,999709700
SRSN,2022-01-12,63.00,65,59,59,44898700,2763469300
SRSN,2022-01-11,58.00,63,55,63,64984800,3950218500
