id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SSIA,2022-01-03,482.00,492,478,482,2818300,1372620400
SSIA,2021-12-30,470.00,484,460,484,2386100,1126233000
SSIA,2021-12-29,466.00,474,458,470,1657400,765849200
SSIA,2021-12-28,468.00,478,464,464,643500,301726800
SSIA,2021-12-27,470.00,470,464,468,31372500,14681387000
SSIA,2021-12-24,476.00,484,466,468,1229400,581201200
SSIA,2021-12-23,454.00,492,452,476,77949800,37098017200
SSIA,2021-12-22,450.00,466,448,452,3384900,1524364400
SSIA,2021-12-21,466.00,466,444,446,7803700,3550466600
SSIA,2021-12-20,476.00,476,464,466,3233300,1506078200
SSIA,2021-12-17,478.00,478,472,476,262800,124671200
SSIA,2021-12-16,482.00,486,468,478,2048400,975601600
SSIA,2021-12-15,472.00,486,466,482,1261700,599474800
SSIA,2021-12-14,470.00,470,462,470,1120300,521157000
SSIA,2021-12-13,470.00,474,470,470,146700,69199000
SSIA,2021-12-10,474.00,474,464,470,1278900,598576000
SSIA,2021-12-09,470.00,476,464,472,1812600,849966800
SSIA,2021-12-08,470.00,474,468,468,667000,313144800
SSIA,2021-12-07,470.00,470,466,468,691900,323441200
SSIA,2021-12-06,478.00,482,466,468,1102300,518167200
SSIA,2021-12-03,478.00,478,474,476,30499600,14517845400
SSIA,2021-12-02,474.00,488,464,478,3154400,1489862200
SSIA,2021-12-01,488.00,488,470,476,2110900,998603200
SSIA,2021-11-30,484.00,488,474,488,2985300,1432037000
SSIA,2021-11-29,480.00,484,474,484,2627100,1256030400
SSIA,2021-11-26,490.00,490,480,480,4840000,2332573200
SSIA,2021-11-25,490.00,490,486,490,507500,247559800
SSIA,2021-11-24,486.00,490,484,490,1053100,511526000
SSIA,2021-11-23,490.00,498,484,484,3301000,1616008400
SSIA,2021-11-22,490.00,492,486,490,1479800,724194000
SSIA,2021-11-19,488.00,492,486,488,771900,377007000
SSIA,2021-11-18,488.00,490,486,486,348500,169937400
SSIA,2021-11-17,492.00,492,488,488,565500,276551600
SSIA,2021-11-16,492.00,494,488,492,1693700,831809400
SSIA,2021-11-15,494.00,496,490,490,1968000,969830000
SSIA,2021-11-12,492.00,494,490,494,1494300,736975000
SSIA,2021-11-11,490.00,492,486,492,2288000,1121774000
SSIA,2021-11-10,490.00,490,484,490,1060100,517832400
SSIA,2021-11-09,486.00,490,484,486,589900,287270400
SSIA,2021-11-08,486.00,488,484,484,860600,418734200
SSIA,2021-11-05,488.00,492,484,484,1841200,894077000
SSIA,2021-11-04,490.00,492,486,488,1552200,760337400
SSIA,2021-11-03,484.00,490,484,490,853300,417214600
SSIA,2021-11-02,492.00,494,482,484,2377200,1154318600
SSIA,2021-11-01,498.00,498,490,490,1936600,953939000
SSIA,2021-10-29,484.00,498,480,498,2963000,1454285800
SSIA,2021-10-28,488.00,492,480,482,5034400,2431923200
SSIA,2021-10-27,492.00,492,486,488,1555700,759374800
SSIA,2021-10-26,488.00,496,488,490,1641100,808059400
SSIA,2021-10-25,492.00,494,488,488,1587900,777263000
SSIA,2021-10-22,496.00,498,490,492,1776000,876399400
SSIA,2021-10-21,482.00,494,480,494,7183600,3521228400
SSIA,2021-10-19,492.00,492,480,482,4261100,2057204000
SSIA,2021-10-18,482.00,490,482,490,3599300,1751765200
SSIA,2021-10-15,490,492,480,482,9122300,4414409200
SSIA,2021-10-14,488,494,486,490,2562900,1252433400
SSIA,2021-10-13,492,494,486,488,1487600,728074000
SSIA,2021-10-12,496,496,490,494,1849600,912186000
SSIA,2021-10-11,490,494,486,492,2851400,1393156200
SSIA,2021-10-08,494,496,488,492,2384000,1169927400
SSIA,2021-10-07,494,496,486,494,4535300,2228323000
SSIA,2021-10-06,492,494,490,492,2877800,1415003800
SSIA,2021-10-05,492,494,490,490,1951600,959206200
SSIA,2021-10-04,482,498,482,494,5573500,2747542600
SSIA,2021-10-01,494,494,482,482,7155900,3474744800
SSIA,2021-09-30,484,498,480,498,6102100,2976644600
SSIA,2021-09-29,492,492,482,486,11253900,5467072800
SSIA,2021-09-28,498,500,492,494,8856000,4397250600
SSIA,2021-09-27,500,505,496,498,8272000,4149810700
SSIA,2021-09-24,510,510,496,500,8562300,4296450800
SSIA,2021-09-23,515,515,498,505,11206800,5682577200
SSIA,2021-09-22,515,520,505,515,12507700,6437464000
SSIA,2021-09-21,505,520,500,515,16493700,8392336500
SSIA,2021-09-20,520,520,498,505,17830000,9030450800
SSIA,2021-09-17,515,520,510,520,28637100,14784576500
SSIA,2021-09-16,510,520,505,515,27644400,14145342000
SSIA,2021-09-15,500,515,500,510,27954200,14231919000
SSIA,2021-09-14,494,505,494,500,19760800,9855201400
SSIA,2021-09-13,486,494,484,494,19216500,9399344800
SSIA,2021-09-10,484,486,480,484,10637600,5131646200
SSIA,2021-09-09,484,490,478,484,12584300,6097878600
SSIA,2021-09-08,484,490,480,484,13527100,6568781400
SSIA,2021-09-07,488,490,482,484,14383800,6984887800
SSIA,2021-09-06,486,492,482,484,14863500,7251537000
SSIA,2021-09-03,486,494,484,486,12111600,5907749200
SSIA,2021-09-02,484,490,482,482,10715200,5185618600
SSIA,2021-09-01,490,492,482,484,14310600,6933739200
SSIA,2021-08-31,486,488,476,488,35013300,16819818200
SSIA,2021-08-30,500,505,484,484,25614400,12686651900
SSIA,2021-08-27,505,510,496,498,15533800,7786403100
SSIA,2021-08-26,498,505,494,505,14320000,7129270400
SSIA,2021-08-25,498,505,496,496,12052400,6008831500
SSIA,2021-08-24,500,505,498,498,12931300,6469085000
SSIA,2021-08-23,484,500,482,500,18722900,9178724800
SSIA,2021-08-20,482,484,478,482,15538800,7463031400
SSIA,2021-08-19,486,492,482,482,19808600,9651187800
SSIA,2021-08-18,488,492,484,486,16976600,8275202600
SSIA,2021-08-16,498,500,490,490,25470500,12614647800
SSIA,2021-08-13,500,505,498,498,14940700,7522456900
SSIA,2021-08-12,505,520,500,500,19947200,10153640000
