id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
SWAT,2022-01-03,182.00,186,177,183,47775900,8735370100
SWAT,2021-12-30,185.00,192,182,183,86118000,16003811400
SWAT,2021-12-29,181.00,190,181,185,114935000,21295971700
SWAT,2021-12-28,182.00,189,179,181,63839400,11726535400
SWAT,2021-12-27,181.00,188,179,181,50734000,9329578100
SWAT,2021-12-24,184.00,189,178,181,58152200,10674687300
SWAT,2021-12-23,182.00,196,179,183,237591600,44769289200
SWAT,2021-12-22,187.00,188,178,179,67366200,12311226800
SWAT,2021-12-21,174.00,188,172,186,168155400,30764482600
SWAT,2021-12-20,177.00,183,172,174,38971600,6892694200
SWAT,2021-12-17,181.00,187,177,178,60524700,11018767600
SWAT,2021-12-16,174.00,194,174,180,275940600,51221064100
SWAT,2021-12-15,176.00,181,176,176,18721900,3334082800
SWAT,2021-12-14,175.00,184,175,178,43057700,7717316200
SWAT,2021-12-13,172.00,179,172,178,36441800,6448109900
SWAT,2021-12-10,172.00,181,172,174,62117200,10966387800
SWAT,2021-12-09,172.00,189,170,175,205025000,36882360700
SWAT,2021-12-08,163.00,181,163,171,94090300,16486070900
SWAT,2021-12-07,169.00,176,167,172,40334900,6915093600
SWAT,2021-12-06,173.00,184,166,169,106229700,18670395700
SWAT,2021-12-03,186.00,190,173,173,142727100,25766137100
SWAT,2021-12-02,234.00,234,186,186,538845900,109115733100
SWAT,2021-12-01,148.00,199,147,199,983590100,183671181800
SWAT,2021-11-30,153.00,163,148,148,59085600,9234724200
SWAT,2021-11-29,148.00,170,147,152,114148700,18470496000
SWAT,2021-11-26,155.00,169,158,158,43715500,7070246700
SWAT,2021-11-25,155.00,169,155,169,43371200,7091796300
SWAT,2021-11-24,157.00,174,152,158,61147700,9942734400
SWAT,2021-11-23,164.00,166,155,157,20972400,3370143600
SWAT,2021-11-22,157.00,175,151,163,164621300,27734022900
SWAT,2021-11-19,149.00,162,149,156,13775500,2179403900
SWAT,2021-11-18,152.00,164,152,157,14148500,2251276900
SWAT,2021-11-17,170.00,170,158,161,22956500,3725982800
SWAT,2021-11-16,168.00,175,165,169,25427900,4340818600
SWAT,2021-11-15,181.00,181,167,167,43842100,7521266800
SWAT,2021-11-12,192.00,194,178,179,64372100,11944674400
SWAT,2021-11-11,180.00,192,177,189,112241100,20858069700
SWAT,2021-11-10,180.00,186,177,179,40008000,7268827200
SWAT,2021-11-09,182.00,184,178,180,18137200,3281023300
SWAT,2021-11-08,177.00,190,173,181,124295100,22879835200
SWAT,2021-11-05,184.00,185,174,176,32566800,5820077600
SWAT,2021-11-04,187.00,188,182,183,22156500,4093638700
SWAT,2021-11-03,185.00,193,183,185,47067800,8819376000
SWAT,2021-11-02,193.00,196,184,185,57614800,10906004300
SWAT,2021-11-01,180.00,199,180,194,200032300,38580593300
SWAT,2021-10-29,183.00,194,177,180,72185800,13466662000
SWAT,2021-10-28,183.00,212,183,185,402124200,78154020700
SWAT,2021-10-27,206.00,208,196,196,31277000,6163083600
SWAT,2021-10-26,167.00,220,161,210,503884000,94954558000
SWAT,2021-10-25,178.00,184,166,167,91090100,15944534000
SWAT,2021-10-22,189.00,194,176,177,100063200,18464968300
SWAT,2021-10-21,194.00,244,173,188,512164900,99817189400
SWAT,2021-10-19,134.00,184,134,184,283705300,45997159100
SWAT,2021-10-18,137.00,148,133,137,65460200,9225413300
SWAT,2021-10-15,133,147,133,135,55364100,7761483600
SWAT,2021-10-14,153,157,143,143,72992000,10866332300
SWAT,2021-10-13,131,161,128,153,279618100,41453224500
SWAT,2021-10-12,146,146,135,135,9302900,1259312400
SWAT,2021-10-11,162,183,145,145,365928300,60077573800
SWAT,2021-10-08,116,155,111,155,328184800,42649274200
SWAT,2021-10-07,116,123,110,115,98620700,11595510300
SWAT,2021-10-06,121,139,112,115,224505000,27602639200
SWAT,2021-10-05,113,120,100,117,118847300,12901932100
SWAT,2021-10-04,108,115,107,107,20009300,2185008600
SWAT,2021-10-01,110,123,110,115,46794000,5453133500
SWAT,2021-09-30,118,129,118,118,35567800,4422523700
SWAT,2021-09-29,131,136,126,126,22929200,2906158100
SWAT,2021-09-28,143,146,134,135,59412600,8043401200
SWAT,2021-09-27,135,148,125,144,111069800,15416717100
SWAT,2021-09-24,133,139,129,133,27999700,3771405100
SWAT,2021-09-23,135,144,129,133,80306700,10934876800
SWAT,2021-09-22,127,143,125,134,115633600,15631704600
SWAT,2021-09-21,118,142,111,134,179846600,23152839300
SWAT,2021-09-20,131,145,113,118,147514800,18063810700
SWAT,2021-09-17,93,121,93,121,361213000,40924460100
SWAT,2021-09-16,80,91,78,90,46151600,3989564200
SWAT,2021-09-15,77,90,74,79,62566100,5215702900
SWAT,2021-09-14,77,79,76,76,3267400,252582800
SWAT,2021-09-13,76,79,75,77,4357500,336427900
SWAT,2021-09-10,77,82,75,76,12939900,1009025200
SWAT,2021-09-09,80,85,76,76,15260000,1217727000
SWAT,2021-09-08,77,91,76,80,71848600,6101825000
SWAT,2021-09-07,74,84,72,76,11833500,933280400
SWAT,2021-09-06,80,80,77,77,3779900,291434900
SWAT,2021-09-03,88,90,82,82,19495500,1647709000
SWAT,2021-09-02,73,91,71,88,78347500,6537427500
SWAT,2021-09-01,74,75,71,72,5691600,413113100
SWAT,2021-08-31,76,76,72,74,3178900,232370900
SWAT,2021-08-30,75,78,72,74,7519100,554143300
SWAT,2021-08-27,73,93,71,76,57208200,4732288300
SWAT,2021-08-26,72,73,70,71,2333900,167892100
SWAT,2021-08-25,73,74,70,72,1723400,124246600
SWAT,2021-08-24,72,75,70,72,2874800,206045800
SWAT,2021-08-23,71,75,70,72,1101200,79554400
SWAT,2021-08-20,72,73,70,71,987100,70377200
SWAT,2021-08-19,70,73,70,72,2929800,208043100
SWAT,2021-08-18,71,72,69,70,2182300,153515200
SWAT,2021-08-16,70,72,70,71,588000,41656900
SWAT,2021-08-13,71,72,70,70,2747200,194845200
SWAT,2021-08-12,73,74,71,71,2637200,188209200
