id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
TALF,2022-01-31,318.00,324,318,318,3500,1113800
TALF,2022-01-28,318.00,324,318,318,18700,5947200
TALF,2022-01-27,312.00,318,312,318,300,94200
TALF,2022-01-26,300.00,0,0,300,0,0
TALF,2022-01-25,286.00,300,286,300,15800,4712000
TALF,2022-01-24,316.00,316,280,280,4400,1320400
TALF,2022-01-21,318.00,318,296,296,27000,8053800
TALF,2022-01-20,286.00,318,286,318,35300,11138200
TALF,2022-01-19,286.00,0,0,286,0,0
TALF,2022-01-18,316.00,318,280,286,3500,1040400
TALF,2022-01-17,292.00,296,292,296,500,147400
TALF,2022-01-14,320.00,320,294,294,300,93400
TALF,2022-01-13,294.00,300,294,300,1200,359400
TALF,2022-01-12,296.00,296,280,290,6200,1832400
TALF,2022-01-11,302.00,302,300,300,800,240200
