id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
TBLA,2022-01-03,795.00,805,790,800,797400,637262000
TBLA,2021-12-30,795.00,805,795,795,896200,715066000
TBLA,2021-12-29,800.00,805,795,795,733200,583796500
TBLA,2021-12-28,795.00,815,785,795,902200,716452000
TBLA,2021-12-27,795.00,800,785,795,518200,411871000
TBLA,2021-12-24,795.00,815,785,795,378500,301748500
TBLA,2021-12-23,785.00,795,775,795,1468100,1147193000
TBLA,2021-12-22,780.00,785,780,785,360800,282635500
TBLA,2021-12-21,780.00,790,775,780,810300,633915000
TBLA,2021-12-20,790.00,795,780,780,1432400,1122915500
TBLA,2021-12-17,790.00,795,785,790,518200,409579500
TBLA,2021-12-16,800.00,800,785,790,837400,663404500
TBLA,2021-12-15,800.00,805,795,800,796700,637144500
TBLA,2021-12-14,800.00,810,795,800,350500,279859500
TBLA,2021-12-13,800.00,810,795,800,724300,579878000
TBLA,2021-12-10,790.00,800,790,795,954900,760765000
TBLA,2021-12-09,795.00,800,780,790,515300,407646000
TBLA,2021-12-08,800.00,805,795,795,485100,387318500
TBLA,2021-12-07,795.00,810,795,800,713800,570473000
TBLA,2021-12-06,785.00,800,785,795,761800,604871000
TBLA,2021-12-03,780.00,815,780,785,557700,443012500
TBLA,2021-12-02,790.00,795,770,790,1859600,1452731000
TBLA,2021-12-01,810.00,825,790,790,1826800,1463593500
TBLA,2021-11-30,805.00,825,800,800,734500,591585000
TBLA,2021-11-29,800.00,815,795,800,1358900,1089948500
TBLA,2021-11-26,825.00,830,805,810,2481500,2026631000
TBLA,2021-11-25,825.00,835,825,830,1827600,1511318000
TBLA,2021-11-24,830.00,830,825,825,944500,781410500
TBLA,2021-11-23,830.00,835,825,830,960800,797464500
TBLA,2021-11-22,825.00,835,820,830,1233500,1019211500
TBLA,2021-11-19,825.00,835,820,825,2532400,2086274000
TBLA,2021-11-18,845.00,850,825,825,2188200,1825044000
TBLA,2021-11-17,850.00,860,835,840,1995400,1688332500
TBLA,2021-11-16,845.00,855,845,850,554200,471042000
TBLA,2021-11-15,855.00,860,845,845,860600,732770500
TBLA,2021-11-12,860.00,865,855,855,427000,366577500
TBLA,2021-11-11,865.00,865,855,855,789900,678862000
TBLA,2021-11-10,880.00,880,850,860,2196900,1894525500
TBLA,2021-11-09,880.00,885,875,875,813900,713285500
TBLA,2021-11-08,880.00,895,880,880,845900,747505500
TBLA,2021-11-05,890.00,900,880,880,1367700,1215944500
TBLA,2021-11-04,875.00,890,875,890,1215700,1074474000
TBLA,2021-11-03,865.00,880,865,875,733900,641062500
TBLA,2021-11-02,865.00,890,860,860,4089000,3582740500
TBLA,2021-11-01,865.00,875,865,865,803100,697731000
TBLA,2021-10-29,845.00,875,840,865,865000,748947000
TBLA,2021-10-28,870.00,875,840,840,2007800,1714444500
TBLA,2021-10-27,890.00,890,875,875,1254300,1102905000
TBLA,2021-10-26,890.00,895,885,890,1302500,1158362000
TBLA,2021-10-25,880.00,895,880,890,1291700,1145987500
TBLA,2021-10-22,880.00,885,870,880,1198900,1052921500
TBLA,2021-10-21,890.00,900,880,880,1777500,1578541000
TBLA,2021-10-19,890.00,900,875,885,2335500,2063955500
TBLA,2021-10-18,900.00,905,890,890,2245300,2007741500
TBLA,2021-10-15,860,900,860,895,1021000,910906000
TBLA,2021-10-14,900,910,890,890,3378500,3033450500
TBLA,2021-10-13,900,900,880,890,2677000,2386317000
TBLA,2021-10-12,880,900,880,890,1950800,1738206000
TBLA,2021-10-11,875,905,875,880,3104000,2769031500
TBLA,2021-10-08,860,880,860,875,2306700,2004027000
TBLA,2021-10-07,895,905,855,855,5034100,4407227500
TBLA,2021-10-06,870,910,870,890,12593500,11270796500
TBLA,2021-10-05,885,885,860,870,4752900,4149150500
TBLA,2021-10-04,870,885,855,870,2808600,2431589500
TBLA,2021-10-01,835,870,835,860,4782500,4099120500
TBLA,2021-09-30,835,850,820,835,3090100,2583243000
TBLA,2021-09-29,825,870,800,835,8109200,6831770000
TBLA,2021-09-28,790,835,780,835,7786400,6356442000
TBLA,2021-09-27,775,785,775,785,777400,605430500
TBLA,2021-09-24,780,785,775,775,708300,551409000
TBLA,2021-09-23,770,780,770,775,449600,349065500
TBLA,2021-09-22,780,780,770,770,2893100,2236199000
TBLA,2021-09-21,780,780,770,780,678900,526722000
TBLA,2021-09-20,785,785,775,780,973600,756582000
TBLA,2021-09-17,790,795,780,785,663500,522392500
TBLA,2021-09-16,785,795,785,790,785600,619991500
TBLA,2021-09-15,785,785,775,785,707400,552948500
TBLA,2021-09-14,780,785,775,785,1278300,1000077500
TBLA,2021-09-13,780,780,770,780,1852700,1436429000
TBLA,2021-09-10,785,785,775,780,1504700,1173076000
TBLA,2021-09-09,795,795,780,785,1026300,805663500
TBLA,2021-09-08,800,800,785,795,1435000,1130550500
TBLA,2021-09-07,800,800,785,800,875800,694202500
TBLA,2021-09-06,790,800,790,800,1523100,1208999500
TBLA,2021-09-03,795,795,785,790,2095900,1655247500
TBLA,2021-09-02,795,795,785,790,2975700,2348511500
TBLA,2021-09-01,795,800,780,785,1993400,1568981500
TBLA,2021-08-31,790,795,785,795,1021100,809669500
TBLA,2021-08-30,775,790,775,785,1991700,1561952500
TBLA,2021-08-27,780,785,770,775,669300,520591000
TBLA,2021-08-26,785,790,780,780,835900,653332500
TBLA,2021-08-25,795,795,785,785,1457200,1146254000
TBLA,2021-08-24,790,795,785,790,703000,554279000
TBLA,2021-08-23,775,790,775,790,1314300,1029490500
TBLA,2021-08-20,780,780,760,775,1951900,1507946500
TBLA,2021-08-19,790,795,780,780,1006500,789410000
TBLA,2021-08-18,800,805,790,790,1677200,1332901000
TBLA,2021-08-16,805,810,795,800,1117800,896566500
TBLA,2021-08-13,820,825,800,805,2618100,2125319000
TBLA,2021-08-12,790,825,790,820,2664800,2161426000
