id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
TEBE,2022-01-31,785.00,800,735,740,1339700,994110500
TEBE,2022-01-28,700.00,870,700,785,3767500,2941683000
TEBE,2022-01-27,670.00,700,660,700,1289700,883605500
TEBE,2022-01-26,630.00,665,630,660,745300,485013000
TEBE,2022-01-25,635.00,655,595,630,360400,224404000
TEBE,2022-01-24,605.00,655,600,635,565800,349423500
TEBE,2022-01-21,580.00,605,580,605,34600,20484500
TEBE,2022-01-20,575.00,590,575,590,31000,18093500
TEBE,2022-01-19,570.00,585,570,585,77100,44631000
TEBE,2022-01-18,585.00,590,560,575,317000,180830000
TEBE,2022-01-17,595.00,605,585,585,364200,215572000
TEBE,2022-01-14,615.00,615,580,595,143400,85430000
TEBE,2022-01-13,620.00,620,580,610,506800,304189500
TEBE,2022-01-12,620.00,635,615,620,244200,151687500
TEBE,2022-01-11,620.00,645,620,620,269900,168623500
