id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
TGRA,2022-01-31,78.00,79,73,75,31976700,2389698000
TGRA,2022-01-28,83.00,84,77,78,18824700,1506386700
TGRA,2022-01-27,82.00,83,80,82,5541100,452573800
TGRA,2022-01-26,83.00,84,81,82,5688600,465989700
TGRA,2022-01-25,86.00,87,81,83,13133700,1089847200
TGRA,2022-01-24,87.00,88,85,86,9508000,822359100
TGRA,2022-01-21,89.00,93,86,87,38568000,3470429000
TGRA,2022-01-20,86.00,89,84,88,13901200,1209274300
TGRA,2022-01-19,89.00,90,85,86,16649700,1456988400
TGRA,2022-01-18,94.00,97,87,89,155951800,14518961900
TGRA,2022-01-17,83.00,98,81,93,134246200,12427823900
TGRA,2022-01-14,82.00,84,80,82,5004800,411377100
TGRA,2022-01-13,85.00,87,80,82,35695000,2944420900
TGRA,2022-01-12,89.00,91,83,85,22254400,1884442300
TGRA,2022-01-11,90.00,91,86,89,16365800,1447996800
