id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
TMAS,2022-01-31,1915.00,1990,1850,1950,10321400,19966602500
TMAS,2022-01-28,1680.00,1920,1630,1900,17128700,30918017500
TMAS,2022-01-27,1635.00,1720,1570,1660,15232900,25153464500
TMAS,2022-01-26,1440.00,1695,1410,1620,17466200,27609080000
TMAS,2022-01-25,1395.00,1530,1365,1430,11933700,17253124500
TMAS,2022-01-24,1355.00,1465,1310,1390,15027300,21218667000
TMAS,2022-01-21,1195.00,1305,1190,1305,4944000,6178406000
TMAS,2022-01-20,1185.00,1210,1180,1190,1189500,1420640000
TMAS,2022-01-19,1220.00,1220,1185,1190,955800,1142295000
TMAS,2022-01-18,1205.00,1215,1180,1185,1991100,2377668000
TMAS,2022-01-17,1190.00,1240,1175,1205,2100700,2536418000
TMAS,2022-01-14,1210.00,1250,1190,1190,1749500,2119850500
TMAS,2022-01-13,1210.00,1230,1170,1210,2309900,2792160500
TMAS,2022-01-12,1270.00,1300,1185,1210,3649900,4469551500
TMAS,2022-01-11,1200.00,1285,1190,1255,4152200,5183659000
