id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
TNCA,2022-01-31,1510.00,1525,1420,1460,6708200,9900042000
TNCA,2022-01-28,1300.00,1545,1300,1500,18008200,26625434500
TNCA,2022-01-27,1425.00,1580,1385,1390,23813800,34722332000
TNCA,2022-01-26,1550.00,1560,1485,1485,11507200,17196379000
TNCA,2022-01-25,1690.00,1690,1595,1595,4864100,7788843500
TNCA,2022-01-24,1815.00,1830,1715,1715,5483300,9498417000
TNCA,2022-01-21,1965.00,1965,1840,1840,7993400,14906609000
TNCA,2022-01-20,2120.00,2180,1975,1975,13052300,26443227500
TNCA,2022-01-19,2220.00,2290,2120,2120,5316000,11655472000
TNCA,2022-01-18,2310.00,2340,2180,2230,6388900,14369928000
TNCA,2022-01-17,2260.00,2450,2180,2300,10605100,24903319000
TNCA,2022-01-14,2400.00,2470,2260,2260,9533300,22187664000
TNCA,2022-01-13,2150.00,2600,2110,2420,18984600,45120252000
TNCA,2022-01-12,2200.00,2290,2050,2100,6793500,14503721000
TNCA,2022-01-11,2400.00,2490,2200,2200,10732300,24391076000
