id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
TOYS,2022-01-31,175.00,181,174,177,16903900,2996669800
TOYS,2022-01-28,183.00,188,172,175,113040800,20414580200
TOYS,2022-01-27,197.00,199,184,184,39859700,7518066300
TOYS,2022-01-26,195.00,206,192,197,64327500,12609806500
TOYS,2022-01-25,220.00,226,206,206,29757400,6366828600
TOYS,2022-01-24,230.00,230,218,220,31273600,6984523400
TOYS,2022-01-21,216.00,248,214,228,229980000,53896143200
TOYS,2022-01-20,212.00,220,212,214,18302500,3945757000
TOYS,2022-01-19,218.00,220,210,212,14230200,3054593800
TOYS,2022-01-18,226.00,228,212,216,26442900,5789851000
TOYS,2022-01-17,220.00,230,218,224,42167200,9476754200
TOYS,2022-01-14,222.00,232,218,218,35501300,7999640000
TOYS,2022-01-13,216.00,230,210,220,41761900,9278800600
TOYS,2022-01-12,224.00,230,214,216,31803700,7025489400
TOYS,2022-01-11,226.00,238,222,224,56424500,12906809600
