id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
UANG,2022-01-31,795.00,815,755,815,900,723500
UANG,2022-01-28,795.00,0,0,795,0,0
UANG,2022-01-27,795.00,0,0,795,0,0
UANG,2022-01-26,790.00,795,790,795,3700,2939500
UANG,2022-01-25,775.00,825,720,825,15800,11965000
UANG,2022-01-24,725.00,770,725,770,400,303500
UANG,2022-01-21,775.00,775,770,770,4900,3787500
UANG,2022-01-20,825.00,845,825,825,18000,14865500
UANG,2022-01-19,770.00,800,770,800,7700,6145000
UANG,2022-01-18,800.00,800,720,730,500,369000
UANG,2022-01-17,800.00,800,750,760,3300,2552500
UANG,2022-01-14,735.00,800,690,800,4900,3502500
UANG,2022-01-13,710.00,735,710,735,200,144500
UANG,2022-01-12,735.00,740,735,740,2100,1551000
UANG,2022-01-11,785.00,785,785,785,1100,863500
