id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
UNTR,2022-01-03,21900.00,22125,21750,21825,2714800,59512670000
UNTR,2021-12-30,22800.00,22800,22150,22150,2203800,49241945000
UNTR,2021-12-29,22850.00,22975,22600,22800,2442500,55742832500
UNTR,2021-12-28,22025.00,23050,22025,22950,8122200,185033370000
UNTR,2021-12-27,22150.00,22225,21875,22025,1501600,33040492500
UNTR,2021-12-24,22325.00,22325,22075,22150,925700,20521027500
UNTR,2021-12-23,21800.00,22225,21800,22225,2729800,60327825000
UNTR,2021-12-22,22000.00,22225,21800,21800,3007800,66225157500
UNTR,2021-12-21,21375.00,22250,21375,22025,4460400,97931062500
UNTR,2021-12-20,21600.00,21700,21250,21300,2790700,59705270000
UNTR,2021-12-17,21450.00,21875,21450,21725,3710900,80538657500
UNTR,2021-12-16,21800.00,21975,21600,21825,2335700,50815307500
UNTR,2021-12-15,22000.00,22250,21700,21700,3564700,78138092500
UNTR,2021-12-14,22025.00,22100,21700,22000,3483800,76141020000
UNTR,2021-12-13,22800.00,22850,22025,22025,5792000,128299907500
UNTR,2021-12-10,22350.00,23000,21850,23000,4379200,97557925000
UNTR,2021-12-09,22400.00,22625,22275,22325,2296500,51446642500
UNTR,2021-12-08,23100.00,23125,22350,22350,3490200,78847612500
UNTR,2021-12-07,22500.00,23100,22500,23000,3151300,72127165000
UNTR,2021-12-06,22900.00,23025,22450,22450,2820000,64329410000
UNTR,2021-12-03,23225.00,23350,22700,22700,4464000,102538457500
UNTR,2021-12-02,22025.00,23350,21975,23225,7714100,176460692500
UNTR,2021-12-01,21400.00,22125,21400,22025,6845300,150112140000
UNTR,2021-11-30,21725.00,21850,21275,21350,8136300,174528905000
UNTR,2021-11-29,21800.00,21900,21475,21825,4379700,95092960000
UNTR,2021-11-26,22850.00,22750,21725,21800,6187000,136424597500
UNTR,2021-11-25,22850.00,22875,22650,22850,2551700,58120787500
UNTR,2021-11-24,22900.00,22950,22325,22450,3348000,75357282500
UNTR,2021-11-23,22975.00,23025,22600,22650,2694600,61249122500
UNTR,2021-11-22,22800.00,23025,22700,23000,2670200,61129967500
UNTR,2021-11-19,22775.00,22825,22400,22675,3256300,73620575000
UNTR,2021-11-18,22975.00,23000,22650,22775,3619300,82570877500
UNTR,2021-11-17,22600.00,23000,22575,22975,4475600,102470517500
UNTR,2021-11-16,22300.00,22550,22275,22425,3120900,70025950000
UNTR,2021-11-15,22650.00,22800,22200,22275,3266100,72894310000
UNTR,2021-11-12,22550.00,22950,22500,22800,2503500,57084340000
UNTR,2021-11-11,22450.00,22525,22275,22375,4459300,99649055000
UNTR,2021-11-10,23075.00,23125,22450,22550,5646400,127697787500
UNTR,2021-11-09,23250.00,23400,22900,23050,3227800,74525440000
UNTR,2021-11-08,22600.00,23200,22600,23150,4258700,98136355000
UNTR,2021-11-05,22400.00,22975,22400,22400,2912700,65660922500
UNTR,2021-11-04,22900.00,23000,22400,22400,5442600,123154107500
UNTR,2021-11-03,23050.00,23100,22300,22325,7513000,169223590000
UNTR,2021-11-02,23300.00,23625,23000,23000,2665300,61670170000
UNTR,2021-11-01,23550.00,24100,23300,23600,3960300,94146517500
UNTR,2021-10-29,23150.00,23800,23150,23550,5964800,140745642500
