id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
VINS,2022-01-31,166.00,166,165,165,45800,7576600
VINS,2022-01-28,169.00,169,165,167,225200,37595900
VINS,2022-01-27,165.00,170,165,169,141700,24020700
VINS,2022-01-26,164.00,169,164,165,398000,66436100
VINS,2022-01-25,174.00,174,163,164,490300,82114700
VINS,2022-01-24,164.00,173,164,173,689400,116581700
VINS,2022-01-21,163.00,165,161,164,470300,76234000
VINS,2022-01-20,166.00,166,164,164,83500,13771700
VINS,2022-01-19,166.00,168,163,165,742200,121593700
VINS,2022-01-18,166.00,166,165,166,106100,17533800
VINS,2022-01-17,167.00,169,165,166,206600,34255900
VINS,2022-01-14,170.00,170,161,164,928200,152032800
VINS,2022-01-13,167.00,173,164,170,548100,92700300
VINS,2022-01-12,168.00,170,166,166,357700,60217800
VINS,2022-01-11,169.00,173,163,167,644700,108110100
