id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
WEGE,2022-01-31,175.00,177,172,173,5740200,999627200
WEGE,2022-01-28,173.00,176,173,174,3732300,651002500
WEGE,2022-01-27,173.00,176,171,173,5523200,960003400
WEGE,2022-01-26,178.00,183,167,173,24517100,4222245100
WEGE,2022-01-25,184.00,185,179,179,5883500,1064697900
WEGE,2022-01-24,186.00,186,182,184,3338500,612708700
WEGE,2022-01-21,186.00,188,184,186,4521300,839146900
WEGE,2022-01-20,184.00,188,182,186,4708600,875186900
WEGE,2022-01-19,185.00,188,178,184,10208500,1881242400
WEGE,2022-01-18,176.00,186,173,185,18877800,3366294300
WEGE,2022-01-17,186.00,187,175,177,10426400,1862768700
WEGE,2022-01-14,186.00,187,183,186,2293700,425342600
WEGE,2022-01-13,181.00,188,181,186,3598600,666408600
WEGE,2022-01-12,188.00,190,182,182,6627800,1232230200
WEGE,2022-01-11,191.00,192,188,188,6245100,1183456700
