id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
WGSH,2022-01-03,181.00,187,172,174,2783200,494523700
WGSH,2021-12-30,186.00,186,176,182,3083600,556990500
WGSH,2021-12-29,198.00,202,186,186,4613100,885812900
WGSH,2021-12-28,200.00,206,195,196,11436400,2293296000
WGSH,2021-12-27,188.00,208,182,206,17460900,3474942800
WGSH,2021-12-24,180.00,192,168,190,24104100,4400340700
WGSH,2021-12-23,188.00,188,170,178,28009800,4921697800
WGSH,2021-12-22,166.00,171,161,171,25149800,4262596500
WGSH,2021-12-21,142.00,156,142,156,8332200,1283216200
WGSH,2021-12-20,154.00,155,139,142,26548700,3883804200
WGSH,2021-12-17,167.00,170,154,154,43647500,6965241100
WGSH,2021-12-16,192.00,193,171,171,46086200,7976822600
WGSH,2021-12-15,162.00,196,162,189,180577000,31727026300
WGSH,2021-12-14,180.00,180,180,180,2665000,479700000
WGSH,2021-12-13,222.00,244,200,200,25625900,5854957400
WGSH,2021-12-10,222.00,222,222,222,7161500,1589853000
WGSH,2021-12-09,200.00,202,200,202,6242000,1260872600
WGSH,2021-12-08,185.00,185,180,185,11723900,2166505400
WGSH,2021-12-07,157.00,169,157,169,17101500,2876502600
WGSH,2021-12-06,0,154,140,154,142257900,21464351200
