id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
WINS,2022-01-03,192.00,202,192,200,12823500,2530692300
WINS,2021-12-30,204.00,206,190,192,18377400,3615343200
WINS,2021-12-29,204.00,212,202,204,17794800,3668880600
WINS,2021-12-28,204.00,206,196,202,15254100,3071511100
WINS,2021-12-27,220.00,226,204,204,40546000,8628359800
WINS,2021-12-24,212.00,222,212,218,17217300,3720093200
WINS,2021-12-23,220.00,226,210,212,47874800,10443148600
WINS,2021-12-22,220.00,234,206,218,48694300,10563439000
WINS,2021-12-21,204.00,220,202,218,65624000,13897316400
WINS,2021-12-20,214.00,218,204,204,23703000,4978744800
WINS,2021-12-17,204.00,230,200,212,108477300,23301313000
WINS,2021-12-16,200.00,212,192,202,36203900,7291827900
WINS,2021-12-15,220.00,222,204,204,45692900,9481317200
WINS,2021-12-14,189.00,234,187,218,189182300,40310152200
WINS,2021-12-13,175.00,195,175,188,78719700,14587736400
WINS,2021-12-10,164.00,175,164,173,37407400,6375853100
WINS,2021-12-09,158.00,166,157,164,20882100,3408841600
WINS,2021-12-08,160.00,161,157,158,4709600,746063100
WINS,2021-12-07,161.00,162,156,160,9738100,1541992000
WINS,2021-12-06,156.00,161,155,158,5094800,804894000
WINS,2021-12-03,161.00,163,156,156,8038200,1281853500
WINS,2021-12-02,154.00,163,154,161,11555400,1845878700
WINS,2021-12-01,156.00,159,154,154,9836000,1534126500
WINS,2021-11-30,162.00,167,155,156,29042000,4692628800
WINS,2021-11-29,156.00,164,148,162,28135700,4454955100
WINS,2021-11-26,168.00,164,153,154,25328500,3964059200
WINS,2021-11-25,168.00,169,164,164,19042200,3159179900
WINS,2021-11-24,169.00,172,164,167,20722200,3454090800
WINS,2021-11-23,173.00,173,167,168,8164900,1377106200
WINS,2021-11-22,177.00,177,169,171,9889300,1695409500
WINS,2021-11-19,168.00,176,166,175,38123100,6544208500
WINS,2021-11-18,171.00,181,165,166,61670200,10705846300
WINS,2021-11-17,174.00,175,171,171,10728500,1850611200
WINS,2021-11-16,167.00,177,166,174,63181800,10983978100
WINS,2021-11-15,170.00,172,164,167,14849300,2476418700
WINS,2021-11-12,172.00,172,166,168,21232700,3583491300
WINS,2021-11-11,165.00,182,165,170,131813700,22990396600
WINS,2021-11-10,163.00,167,162,165,19728900,3248270100
WINS,2021-11-09,165.00,172,161,163,65547900,10950935800
WINS,2021-11-08,160.00,166,158,164,29782900,4850340800
WINS,2021-11-05,171.00,171,159,159,77263500,12842192500
WINS,2021-11-04,159.00,176,156,170,174592400,29488334500
WINS,2021-11-03,159.00,167,155,158,75804300,12304339300
WINS,2021-11-02,155.00,162,152,158,51670100,8171272000
WINS,2021-11-01,153.00,156,152,152,13356500,2053652600
WINS,2021-10-29,153.00,161,152,152,26283900,4106966100
WINS,2021-10-28,155.00,162,152,153,36519900,5731855900
WINS,2021-10-27,148.00,160,148,154,80234000,12493182600
WINS,2021-10-26,153.00,156,147,148,25339000,3804825500
WINS,2021-10-25,146.00,156,143,155,58781800,8840663000
WINS,2021-10-22,156.00,156,145,146,25537800,3800474100
WINS,2021-10-21,151.00,165,151,151,122060000,19341292600
