id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
WOMF,2022-01-03,248.00,248,240,246,89000,21563800
WOMF,2021-12-30,242.00,250,236,246,266700,65278400
WOMF,2021-12-29,242.00,252,236,242,185100,44662200
WOMF,2021-12-28,250.00,254,236,242,252600,61789400
WOMF,2021-12-27,244.00,252,240,250,763400,189021200
WOMF,2021-12-24,240.00,244,236,244,198600,47603200
WOMF,2021-12-23,244.00,244,238,240,71600,17176200
WOMF,2021-12-22,240.00,244,238,240,644600,154082000
WOMF,2021-12-21,240.00,242,234,238,758300,179526000
WOMF,2021-12-20,242.00,242,240,240,144800,34793400
WOMF,2021-12-17,242.00,246,240,242,103100,24973200
WOMF,2021-12-16,252.00,252,242,246,196100,48036200
WOMF,2021-12-15,246.00,252,236,252,1009900,243726600
WOMF,2021-12-14,248.00,250,238,246,309400,74720200
WOMF,2021-12-13,246.00,268,238,248,1014300,252303600
WOMF,2021-12-10,238.00,248,234,244,948400,227317800
WOMF,2021-12-09,238.00,238,236,238,13400,3188800
WOMF,2021-12-08,234.00,240,234,238,69700,16537600
WOMF,2021-12-07,234.00,236,234,234,31600,7396800
WOMF,2021-12-06,234.00,240,230,234,21100,4948000
WOMF,2021-12-03,236.00,238,234,238,17300,4076200
WOMF,2021-12-02,234.00,234,230,234,102400,23870600
WOMF,2021-12-01,238.00,238,232,234,26600,6219000
WOMF,2021-11-30,234.00,238,230,234,72500,17040200
WOMF,2021-11-29,236.00,236,230,234,139400,32521400
WOMF,2021-11-26,244.00,240,236,238,135000,31965600
WOMF,2021-11-25,244.00,244,236,238,230100,54769400
WOMF,2021-11-24,242.00,242,234,242,456600,108601400
WOMF,2021-11-23,236.00,242,234,236,762800,180306600
WOMF,2021-11-22,238.00,240,236,238,151600,36069000
WOMF,2021-11-19,240.00,240,236,238,1236400,293945400
WOMF,2021-11-18,240.00,244,234,240,1173100,278405800
WOMF,2021-11-17,240.00,246,238,240,436000,105268200
WOMF,2021-11-16,240.00,242,240,240,94600,22720400
WOMF,2021-11-15,242.00,242,238,240,132500,31700800
WOMF,2021-11-12,244.00,244,240,242,101600,24631600
WOMF,2021-11-11,240.00,250,240,242,431700,106146400
WOMF,2021-11-10,244.00,246,238,240,478400,115377200
WOMF,2021-11-09,248.00,248,244,244,166600,40962000
WOMF,2021-11-08,248.00,250,246,248,304500,75371000
WOMF,2021-11-05,248.00,252,246,248,537900,133073600
WOMF,2021-11-04,246.00,252,244,244,563400,139720200
WOMF,2021-11-03,244.00,250,240,240,74000,17893800
WOMF,2021-11-02,242.00,254,240,240,533200,130315600
WOMF,2021-11-01,242.00,248,238,238,294500,71396200
WOMF,2021-10-29,238.00,266,238,242,1220000,296934800
WOMF,2021-10-28,240.00,240,234,236,200300,47167800
WOMF,2021-10-27,238.00,238,236,238,111400,26329000
WOMF,2021-10-26,240.00,246,236,236,1133800,268227800
WOMF,2021-10-25,238.00,246,234,238,116100,27874000
WOMF,2021-10-22,234.00,242,234,236,1037600,246344800
WOMF,2021-10-21,234.00,236,232,236,210100,49162400
WOMF,2021-10-19,236.00,236,232,234,24500,5735400
WOMF,2021-10-18,236.00,238,230,236,132200,30998200
WOMF,2021-10-15,234,236,230,236,76400,17723000
WOMF,2021-10-14,230,236,230,234,86100,20009200
WOMF,2021-10-13,232,238,230,230,1759100,407969400
WOMF,2021-10-12,236,236,232,232,263400,61175800
WOMF,2021-10-11,232,234,230,234,320100,74066600
WOMF,2021-10-08,232,232,230,232,197500,45561800
WOMF,2021-10-07,232,232,228,232,168100,38847400
WOMF,2021-10-06,232,232,228,232,177200,40777600
WOMF,2021-10-05,230,234,228,230,108800,25056600
WOMF,2021-10-04,228,230,226,230,743000,170073200
WOMF,2021-10-01,232,232,228,228,796500,182421400
WOMF,2021-09-30,234,244,228,234,5636900,1336018800
WOMF,2021-09-29,232,234,230,234,215900,50117800
WOMF,2021-09-28,232,234,230,230,226700,52424400
WOMF,2021-09-27,230,234,230,232,342000,79417200
WOMF,2021-09-24,230,234,228,232,498400,114470000
WOMF,2021-09-23,232,232,228,230,288200,66265200
WOMF,2021-09-22,230,230,228,230,79600,18296400
WOMF,2021-09-21,230,230,228,230,43000,9880800
WOMF,2021-09-20,232,232,226,230,226500,51460800
WOMF,2021-09-17,232,232,230,230,99600,22912200
WOMF,2021-09-16,234,234,230,232,34500,7987200
WOMF,2021-09-15,230,232,230,232,136500,31538600
WOMF,2021-09-14,230,232,228,230,2008200,461007400
WOMF,2021-09-13,230,232,230,230,116200,26731600
WOMF,2021-09-10,230,234,230,232,197900,45955800
WOMF,2021-09-09,234,234,230,230,50800,11691000
WOMF,2021-09-08,234,234,232,232,110500,25728400
WOMF,2021-09-07,232,236,232,234,349900,81248400
WOMF,2021-09-06,234,234,230,232,794500,183766400
WOMF,2021-09-03,234,236,234,236,34100,7989600
WOMF,2021-09-02,236,238,234,236,107000,25178600
WOMF,2021-09-01,234,236,232,236,125500,29509200
WOMF,2021-08-31,238,240,222,234,1779300,404972600
WOMF,2021-08-30,240,244,236,238,100200,23993600
WOMF,2021-08-27,236,242,234,238,19600,4682200
WOMF,2021-08-26,238,240,236,236,131300,31243200
WOMF,2021-08-25,240,240,234,238,50900,12027400
WOMF,2021-08-24,242,242,236,238,45800,10899800
WOMF,2021-08-23,238,240,236,238,131500,31164000
WOMF,2021-08-20,238,240,230,238,102200,24111200
WOMF,2021-08-19,236,238,234,238,351600,83381800
WOMF,2021-08-18,234,236,234,236,16900,3959600
WOMF,2021-08-16,240,240,230,234,302600,70307000
WOMF,2021-08-13,238,240,238,240,84900,20229000
WOMF,2021-08-12,232,240,232,238,139400,33143800
