id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
WTON,2022-01-31,218.00,224,216,224,7912600,1741772200
WTON,2022-01-28,214.00,220,214,218,5468400,1187724400
WTON,2022-01-27,216.00,220,214,214,5994200,1295777200
WTON,2022-01-26,226.00,230,212,216,31658300,6848513400
WTON,2022-01-25,230.00,232,226,226,5685800,1298717800
WTON,2022-01-24,232.00,234,228,232,3194200,739427000
WTON,2022-01-21,232.00,234,226,232,5856700,1346112800
WTON,2022-01-20,226.00,232,226,232,5006100,1148831600
WTON,2022-01-19,226.00,228,224,226,4245300,957722800
WTON,2022-01-18,228.00,232,220,226,10739000,2419235000
WTON,2022-01-17,236.00,238,228,228,8289600,1920678000
WTON,2022-01-14,236.00,238,234,236,2951000,694789800
WTON,2022-01-13,238.00,242,236,236,3714900,885188800
WTON,2022-01-12,238.00,242,236,238,6567900,1558883400
WTON,2022-01-11,246.00,248,240,240,8976600,2172967400
