id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
YPAS,2022-01-31,710.00,760,665,685,19200,12963000
YPAS,2022-01-28,710.00,710,710,710,100,71000
YPAS,2022-01-27,765.00,765,715,715,7200,5178000
YPAS,2022-01-26,700.00,770,665,765,9000,6378500
YPAS,2022-01-25,720.00,760,700,700,38200,27989500
YPAS,2022-01-24,750.00,755,705,720,5800,4265500
YPAS,2022-01-21,760.00,780,720,750,7900,5967000
YPAS,2022-01-20,780.00,790,755,755,8800,6795000
YPAS,2022-01-19,820.00,825,775,775,12200,9877500
YPAS,2022-01-18,780.00,890,780,820,13000,10512000
YPAS,2022-01-17,805.00,900,800,805,31400,25916500
YPAS,2022-01-14,770.00,815,735,805,10300,7915000
YPAS,2022-01-13,760.00,820,760,780,3700,2921500
YPAS,2022-01-12,830.00,850,770,780,56500,44038000
YPAS,2022-01-11,800.00,905,800,820,34900,29521500
