id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
ZYRX,2022-01-31,500.00,505,496,498,8571400,4279721900
ZYRX,2022-01-28,500.00,505,498,500,8172900,4086549200
ZYRX,2022-01-27,500.00,520,496,500,9582200,4837304900
ZYRX,2022-01-26,520.00,525,500,500,7754100,3950994500
ZYRX,2022-01-25,505.00,520,500,510,10259900,5232929000
ZYRX,2022-01-24,510.00,510,500,505,2127700,1070186500
ZYRX,2022-01-21,510.00,520,505,510,8992400,4599149500
ZYRX,2022-01-20,505.00,510,500,510,8666100,4383414500
ZYRX,2022-01-19,505.00,515,500,505,9029700,4568818000
ZYRX,2022-01-18,525.00,530,500,505,7359200,3833801500
ZYRX,2022-01-17,520.00,530,520,525,10490100,5506837000
ZYRX,2022-01-14,530.00,535,520,520,7617600,4032504000
ZYRX,2022-01-13,515.00,545,505,530,9970400,5250790000
ZYRX,2022-01-12,500.00,520,500,515,11206000,5720595500
ZYRX,2022-01-11,515.00,525,500,500,9319400,4815429000
